pískovištích	písk ov išt -ích	pískoviště	písk ov išt -ě
namáháte	na máh á -te	namáhat	na máh a -t
náměstka	ná měst k -a	náměstek	ná měst ek -0
namířeno	na míř en -o	namířit	na míř i -t
nenápadně	ne ná pad n -ě	nápadně	ná pad n -ě
napadlo	na pad l -o	napadnout	na pad nou -t
napíná	na pín á -0	napínat	na pín a -t
napínáky	na pín ák -y	napínák	na pín ák -0
napjatýma	na pj a t -ýma	napjatý	na pj a t -ý
napomenula	na po me nu l -a	napomenout	na po me nou -t
nenapovídalo	ne na po víd a l -o	napovídat	na po víd a -t
náramkem	ná ram k -em	náramek	ná ram ek -0
naráží	na ráž í -0	narážet	na ráž e -t
národům	ná rod -ům	národ	ná rod -0
národního	ná rod n -ího	národní	ná rod n -í
nenarozené	ne na roz en -é	narozený	na roz en -ý
narozeninám	na roz en in -ám	narozeniny	na roz en in -y
narostly	na rost l -y	narůst	na růs -t
nenarušil	ne na ruš i l -0	narušit	na ruš i -t
nařizují	na řiz uj -í	nařizovat	na řiz ova -t
nasedli	na sed l -i	nasednout	na sed nou -t
naslouchají	na slouch aj -í	naslouchat	na slouch a -t
nastanou	na sta n ou -0	nastat	na sta -t
nastrkáme	na strk á -me	nastrkat	na strk a -t
nastupuje	na stup uje -0	nastupovat	na stup ova -t
natáhl	na táh l -0	natáhnout	na táh nou -t
natírají	na tír aj -í	natírat	na tír a -t
natřena	na tř e n -a	natřít	na tř í -t
natřásalo	na třás a l -o	natřásat	na třás a -t
nenaučil	ne na uč i l -0	naučit	na uč i -t
nevídanou	ne víd a n -ou	nevídaný	na víd a n -ý
nenavrhuje	ne na vrh uje -0	navrhovat	na vrh ova -t
návršíčku	ná vrš íčk -u	návršíčko	ná vrš íčk -o
nazul	na zu l -0	nazout	na zou -t
nacismu	nac ism -u	nacismus	nac ism -us
nadnese	nad nes -e	nadnést	nad nés -t
nadporučíkovou	nad po ruč ík ov -ou	nadporučíková	nad po ruč ík ov -á
nadzvedávaje	nad z ved á v aj -e	nadzvedávat	nad z ved á v a -t
nahá	nah -á	nahý	nah -ý
návštěvě	návštěv -ě	návštěva	návštěv -a
navštívíme	navštív í -me	navštívit	navštív i -t
nedávnem	ne dávn -em	nedávno	ne dávn -o
nechutí	ne chut -í	nechuť	ne chuť -0
nemluvňat	ne mluv ň at -0	nemluvně	ne mluv n -ě
nemocnici	ne moc nic -e	nemocnice	ne moc nic -e
nenapravitelně	ne na prav i teln -ě	nenapravitelně	ne na prav i teln -ě
nepaměti	ne pamět -i	nepaměť	ne paměť -0
nespokojeností	ne s po koj en ost -í	nespokojenost	ne s po koj en ost -0
nezvyklými	ne z vyk l -ými	nezvyklý	ne z vyk l -ý
nebi	neb -i	nebe	neb -e
nehty	neht -y	nehet	nehet -0
nechává	nech á v á -0	nechávat	nech á v a -t
německému	něm ec k ému	německý	něm ec k -ý
nesl	nes l -0	nést	nés -t
nešporech	nešpor -ech	nešpory	nešpor -y
netopýři	netopýř -i	netopýr	netopýr -0
ničím	nič -ím	nic	nic -0
ničíc	nič íc -0	ničit	nič i -t
níž	níž	nízko	níz k -o
noci	noc -i	noc	noc -0
nočnímu	noč n -ímu	noční	noč n -í
nohy	noh -y	noha	noh -a
normě	norm -ě	norma	norm -a
nosů	nos -ů	nos	nos -0
nenoste	ne nos -te	nosit	nos i -t
novinama	novin -ama	noviny	nov in -y
novel	novel -0	novela	novel -a
nozdrám	nozdr -ám	nozdra	nozdr -a
nenutím	ne nut í -m	nutit	nut i -t
nutno	nut n -o	nutný	nut n -ý
nožem	nož -em	nůž	nůž -0
obalech	o bal -ech	obal	o bal -0
obálce	o bál c -e	obálka	o bál k -a
obydli	o bydl -i	obydlet	o bydl e -t
obývacího	o býv ac -ího	obývací	o býv ac -í
oceňován	o ceň ová n -0	oceňovat	o ceň ova -t
očekáváte	o ček á v á -te	očekávat	o ček á v a -t
neočekávaně	ne o ček á v a n -ě	očekávaně	o ček á v a n -ě
odřel	o dř e l -0	odřít	o dř í -t
ohlásím	o hlás í -m	ohlásit	o hlás i -t
neohlédla	ne o hléd l -a	ohlédnout	o hléd nou -t
neohrabané	ne o hrab a n -é	ohrabaný	o hrab a n -ý
ohromena	o hrom en -a	ohromit	o hrom i -t
ochabuje	o chab uje -0	ochabovat	o chab ova -t
neochotně	ne o chot n -ě	ochotně	o chot n -ě
ochraptělí	o chrapt ě l -í	ochraptělý	o chrapt ě l -ý
neokázalou	ne o káz a l -ou	okázalý	o káz a l -ý
okupována	o kup ová n -a	okupovat	o kup ova -t
neomezenou	ne o mez en -ou	omezený	o mez en -ý
omítce	o mít c -e	omítka	o mít k -a
omlouvám	o mlouv á -m	omlouvat	o mlouv a -t
opatrného	o patr n -ého	opatrný	o patr n -ý
opilí	o pi l -í	opilý	o pi l -ý
opouštěl	o poušt ě l -0	opouštět	o poušt ě -t
opřela	o př e l -a	opřít	o př í -t
opustíš	o pust í -š	opustit	o pust i -t
osamocena	o sam oc en -a	osamocený	o sam oc en -ý
neoslovila	ne o slov i l -a	oslovit	o slov i -t
osobě	o sob -ě	osoba	o sob -a
osvícenosti	o svíc en ost -i	osvícenost	o svíc en ost -0
osvícen	o svíc en -0	osvítit	o svít i -t
osvobodí	o svobod í -0	osvobodit	o svobod i -t
ošetřovně	o šetř ov n -ě	ošetřovna	o šetř ov n -a
otočily	o toč i l -y	otočit	o toč i -t
otýpkami	o týp k -ami	otýpka	o týp k -a
ověřte	o věř -te	ověřit	o věř i -t
ovládá	o vlád á -0	ovládat	o vlád a -t
neovládl	ne o vlád l -0	ovládnout	o vlád nou -t
ozářeno	o zář en -o	ozářit	o zář i -t
ozvalo	o zv a l -o	ozvat	o zv a -t
obcházeje	ob cház ej -e	obcházet	ob cház e -t
obchodního	ob chod n -ího	obchodní	ob chod n -í
obchodníci	ob chod níc -i	obchodník	ob chod ník -0
obchodníkovo	ob chod ník ov -o	obchodníkův	ob chod ník ův -0
objevují	ob jev uj -í	objevovat	ob jev ova -t
oblékla	ob lék l -a	obléci	ob léc -i
neoblečená	ne ob leč en -á	oblečený	ob leč en -ý
oblékla	ob lék l -a	obléknout	ob lék nou -t
oblohy	ob loh -y	obloha	ob loh -a
obležen	ob lež en -0	oblehnout	ob měn -a
obměn	ob měn -0	obměna	ob měn -a
obrací	ob rac í -0	obracet	ob rac e -t
obrácena	ob rác en -a	obrátit	ob rát i -t
obrazy	ob raz -y	obraz	ob raz -0
obrazců	ob raz c -ů	obrazec	ob raz ec -0
neobstálo	ne ob stá l -o	obstát	ob stá -t
obšírnějšího	ob šír n -ějš -ího	obšírný	ob šír n -ý
obtíže	ob tíž -e	obtíž	ob tíž -0
obyčejné	obyčej n -é	obyčejný	ob yčej n -ý
objal	obj a l -0	obejmout	obe j mou -t
oběda	oběd -a	oběd	oběd -0
obohacen	o bohac en -0	obohatit	obohat i -t
ocáskem	ocás k -em	ocásek	ocás ek -0
očku	oč k -u	očko	oč k -o
odbyla	od by l -a	odbýt	od bý -t
oddechli	od dech l -i	oddechnout	od dech nou -t
odhodlána	od hodl á n -a	odhodlat	od hodl a -t
odcházela	od cház e l -a	odcházet	od cház e -t
odlišnému	od liš n -ému	odlišný	od liš n -ý
odmítla	od mít l -a	odmítnout	od mít nou -t
odnesli	od nes l -i	odnést	od nés -t
odpínaje	od pín aj -e	odpínat	od pín a -t
odpluje	od plu je -0	odplout	od plou -t
odpočinu	od po či -nu	odpočinout	od po či nou -t
odpovězte	od po věz -te	odpovědět	od po věd ě -t
neodpovídalo	ne od po víd a l -o	odpovídat	od po víd a -t
odpočivadle	od poč i v a dl -e	odpočivadlo	od poč i v a dl -o
odpráskli	od prásk l -i	odprásknout	od prásk nou -t
odpusťte	od pusť -te	odpustit	od pust i -t
odradilo	od rad i l -o	odradit	od rad i -t
odrodilců	od rod i l c -ů	odrodilec	od rod i l ec -0
vodsaď	vod saď	odsaď	od saď
odstraněn	od stran ěn -0	odstranit	od stran i -t
odsunuty	od su nu t -y	odsunout	od su nou -t
odsuzuji	od suz uj -i	odsuzovat	od suz ova -t
odtáhne	od táh ne -0	odtáhnout	od táh nou -t
neodvážil	ne od váž i l -0	odvážit	od váž i -t
odvažuješ	od važ uje -š	odvažovat	od važ ova -t
odvedl	od ved l -0	odvést	od vés -t
odvezl	od vez l -0	odvézt	od vét -z
odvrací	od vrac í -0	odvracet	od vrac e -t
odvrácena	od vrác en -a	odvrátit	od vrát i -t
odvrhne	od vrh ne -0	odvrhnout	od vrh nou -t
odepřeno	ode př e n -o	odepřít	ode př í -t
odeslán	ode sl á n -0	odeslat	ode sl a -t
odevzdám	ode vz d á -m	odevzdat	ode vz d a -t
okénkem	okén k -em	okénko	okén k -o
okny	okn -y	okno	okn -o
opakuji	o pak uj -i	opakovat	opak ova -t
opatova	opat ov -a	opatův	opat ův -0
opětovném	opět ov n -ém	opětovný	opět ov n -ý
neořou	ne oř ou -0	orat	or a -t
oranžistů	oranž ist -ů	oranžista	oranž ist -a
orgasmus	orgasm -us	orgazmus	orgazm -us
oslové	osl -ové	osel	osel -0
otevřely	ote vř e l -y	otevřít	ote vř í -t
otče	otč -e	otec	otec -0
otrokům	otrok -ům	otrok	otrok -0
otrokyni	otrok yn -i	otrokyně	otrok yn -ě
pakoní	pa kon -í	pakůň	pa kůň -0
pacientkám	pacient k -ám	pacientka	pacient k -a
padlo	pad l -o	padnout	pad nou -t
palmama	palm -ama	palma	palm -a
pamatuj	pamat uj -0	pamatovat	pamat ova -t
paměti	pamět -i	paměť	paměť -0
panáčkují	pan áč k uj -í	panáčkovat	pan áč k ova -t
pámbů	pámbů	pánbůh	pán bůh
papíru	papír -u	papír	papír -0
párky	pár k -y	párek	pár ek -0
parapetu	parapet -u	parapet	parapet -0
partneři	partneř -i	partner	partner -0
pásci	pásc -i	pásek	pásek -0
patách	pat -ách	pata	pat -a
patře	patř -e	patro	patr -o
patroni	patr on -i	patron	patr on -0
pavlačí	pavlač -í	pavlač	pavlač -0
pavoučci	pavouč c -i	pavouček	pavouč ek -0
pavouci	pavouc -i	pavouk	pavouk -0
paží	paž -í	paže	paž -e
pecí	pec -í	pec	pec -0
pečlivostí	peč liv ost -í	pečlivost	peč liv ost -0
pěchotnímu	pěch ot n -ímu	pěchotní	pěch ot n -í
péra	pér -a	pero	per -o
perutě	perut -ě	peruť	peruť -0
psa	ps -a	pes	pes -0
pevností	pevn ost -í	pevnost	pevn ost -0
pije	pi je -0	pít	pí -t
pinčlové	pinčl -ové	pinčl	pinčl -0
pistoli	pistol -i	pistole	pistol -e
pitomej	pitom -ej	pitomý	pitom -ý
piva	piv -a	pivo	piv -o
plála	pl á l -a	planout	pla nou -t
plácky	plác k -y	plácek	plác ek -0
neplacení	ne plac en -í	placený	plac en -ý
plácli	plác l -i	plácnout	plác nou -t
nepláče	ne pláč e -0	plakat	plak a -t
neplánoval	ne plán ova l -0	plánovat	plán ova -t
plastiku	plast ik -u	plastik	plast ik -0
pláštích	plášt -ích	plášť	plášť -0
plátkem	plát k -em	plátek	plát ek -0
platí	plat í -0	platit	plat i -t
plavidlech	plav i dl -ech	plavidlo	plav i dl -o
plaze	plaz -e	plaz	plaz -0
pleskne	plesk ne -0	plesknout	plesk nou -t
pletí	plet -í	pleť	pleť -0
plic	plic -0	plíce	plíc -e
plivám	pliv á -m	plivat	pliv a -t
plnou	pln -ou	plný	pln -ý
neplodného	ne plod n -ého	plodný	plod n -ý
plotu	plot -u	plot	plot -0
plují	plu j -í	plout	plou -t
neplynul	ne ply nu l -0	plynout	ply nou -t
plýtváte	plýtv á -te	plýtvat	plýtv a -t
nepociťuješ	ne po ciť uje -š	pociťovat	po ciť ova -t
počal	po č a l -0	počít	po č í -t
nepočestných	ne po čest n -ých	počestný	po čest n -ý
počítám	po čít á -m	počítat	po čít a -t
počkejme	po čk ej -me	počkat	po čk a -t
podělaném	po děl a n -ém	podělaný	po děl a n -ý
poděla	po d ě l -a	podít	po dí -t
podívej	po dív ej -0	podívat	po dív a -t
podotkl	po do tk l -0	podotknout	po do tk nou -t
podomka	po dom k -a	podomek	po dom ek -0
pohnul	po h nu l -0	pohnout	po h nou -t
pohádek	p hád ek -0	pohádka	po hád k -a
pohaněné	po han ě n -é	pohaněný	po han ě n -ý
pohlédl	po hléd l -0	pohlédnout	po hléd nou -t
pohlcena	po hlc en -a	pohltit	po hlt i -t
pohřbil	po hřb i l -0	pohřbít	po hřb í t
nepohřbívá	ne po hřb í v á -0	pohřbívat	po hřb í v a -t
pohybuje	po hyb uje -0	pohybovat	po hyb ova -t
pocházím	po cház í -m	pocházet	po cház e -t
pochodně	po chod n -ě	pochodeň	po chod eň -0
pochroumán	po chroum á n -0	pochroumat	po chroum a -t
pochyb	po cyb -0	pochyba	po chyb -a
pochybujete	po chyb uje -te	pochybovat	po chyb ova -t
pokaždý	po každ -ý	pokaždé	po každ -é
pokládán	po klád á n -0	pokládat	po klád a -t
poklade	po klad e -0	poklást	po klás -t
pokožku	po kož k -u	pokožka	po kož k -a
pokračovala	po krač ova l -a	pokračovat	po krač ova -t
pokrčíš	po krč í -š	pokrčit	po krč i -t
pokročilejším	po kroč i l ejš -ím	pokročilý	po kroč i l -ý
pokryty	po kry t -y	pokrýt	po krý -t
pokusil	po kus i l -0	pokusit	po kus i -t
pokynul	po ky nu l -0	pokynout	po ky nou -t
polil	po li l -0	polít	po lí -t
polkla	polk l -a	polknout	po lk nou -t
polož	po lož -0	položit	po lož i -t
pomátl	po mát l -0	pomást	po más -t
pomašíruješ	po mašír uje -š	pomašírovat	po mašír ova -t
pomateném	po mat en -ém	pomatený	po mat en -ý
pominula	po mi nu l -a	pominout	po mi nou -t
pomohla	po moh l -a	pomoci	po moc -i
pomyslil	po mysl i l -0	pomyslet	po mysl e -t
ponechán	po nech á n -0	ponechat	po nech a -t
popadla	po pad l -a	popadnout	po pad nou -t
popelnic	po pel nic -0	popelnice	po pel nic -e
popletla	po plet l -a	poplést	po plés -t
popřel	po př e l -0	popřít	po př í -t
popřáli	po přá l -i	popřát	po přá -t
poradu	po rad -u	porada	po rad -a
poradím	po rad í -m	poradit	po rad i -t
poradkyní	po rad k yn -í	poradkyně	po rad k yn -ě
neporušily	ne po ruš i l -y	porušit	po ruš i -t
neporušitelné	ne po ruš i teln -é	porušitelný	po ruš i teln -ý
pořádku	po řád k -u	pořádek	po řád ek -0
posadila	po sad i l -a	posadit	po sad i -t
poselstva	po sel stv -a	poselstvo	po sel stv -o
poseroutkové	po ser outk -ové	poseroutka	po ser out k -a
posíláme	po síl á -me	posílat	po síl a -t
poslíčka	po sl íčk -a	poslíček	po sl íček -0
poslouchám	po slouch á -m	poslouchat	po slouch a -t
posloužím	po slouž í -m	posloužit	po slouž i -t
neposmívám	ne po smí v á -m	posmívat	po smí v a -t
posouvám	po souv á -m	posouvat	po souv a -t
pospícháme	po spích á -me	pospíchat	po spích a -t
poseru	po ser u -0	posrat	po sr a -t
postávalo	po stá v a l -o	postávat	po stá v a -t
postaráno	po star á n -o	postarat	po star a -t
postavila	po stav i l -a	postavit	po stav i -t
postele	po stel -e	postel	po stel -0
postýlek	po stýl ek -0	postýlka	po stýl k -a
poškozenému	po škoz en -ému	poškozený	po škoz en -ý
poškozujete	po škoz uje -te	poškozovat	po škoz ova -t
potápějícího	po táp ěj íc -ího	potápějící	po táp ěj íc -í
potěšená	po těš en -á	potěšený	po těš en -ý
potěšen	po těš en -0	potěšit	po těš i -t
potížemi	po tíž -emi	potíž	po tíž -0
potkáme	po tk á -me	potkat	po tk a -t
potměšilí	po tm +ě ši l -ý	potměšilý	po tm -ě šil -ý
potrpí	po trp í -0	potrpět	po trp ě -t
potřísněna	po třísn ěn -a	potřísnit	po třísn i -t
potulují	po tul uj -í	potulovat	po tul ova -t
potvrdila	po tvrd i l -a	potvrdit	po tvrd i -t
použila	po u ži l -a	použít	po u ží -t
povahy	po vah -y	povaha	po vah -a
pověřeni	po věř en -i	pověřit	po věř i -t
nepovedlo	ne po ved l -o	povést	po vés -t
povídala	po víd a l -a	povídat	po víd a -t
povolán	po vol á n -0	povolat	po vol a -t
nepovšiml	ne po všim l -0	povšimnout	po všim nou -t
povytáhl	po vy táh l -0	povytáhnout	po vy táh nou -t
nepozdržel	ne po z drž e l -0	pozdržet	po z drž e -t
pozdrav	po zdrav -0	pozdravit	po zdrav i -t
pozemku	po zem k -u	pozemek	po zem ek -0
pozná	po zn á -0	poznat	po zn a -t
poznámek	po znám ek -0	poznámka	po znám k -a
pozřeli	po zř e l -i	pozřít	po zř í -t
pozváni	po zv á n -i	pozvat	po zv a -t
požárech	po žár -ech	požár	po žár -0
nepodceňovala	ne pod ceň ova l -a	podceňovat	pod ceň ova -t
poddané	pod d a n -é	poddaná	pod d a n -á
nepoddajný	ne pod daj n -ý	poddajný	pod daj n -ý
podlaze	pod laz -e	podlaha	pod lah -a
podmíněném	pod mín ěn -ém	podmíněný	pod mín ěn -ý
nepodnikl	ne pod nik l -0	podniknout	pod nik nou -t
podnosem	pod nos -em	podnos	pod nos -0
nepodpoří	ne pod poř í -0	podpořit	pod poř i -t
podrobuji	pod rob uj -i	podrobovat	pod rob ova -t
podstupujeme	pod stup uje -me	podstupovat	pod stup ova -t
podvodů	pod vod -ů	podvod	pod vod -0
podepřel	pode př e l -0	podepřít	pode př í -t
podepiš	pode piš -0	podepsat	pode ps a -t
pohárech	pohár -ech	pohár	pohár -0
pohárky	pohár k -y	pohárek	pohár ek -0
poledním	pol e dn -ím	polední	pol e dn -í
pondělka	ponděl k -a	pondělek	ponděl ek -0
popošel	popo š e l -0	popojít	popo j í -t
nejpopulárnější	nej popul ár n ějš -í	populární	popul ár n -í
pouště	poušt -ě	poušť	poušť
pouštního	poušt n -ího	pouštní	poušt n -í
pouti	pout -i	pouť	pouť -0
poutem	pout -em	pouto	pout -o
pouzdru	pouzdr -u	pouzdro	pouzdr -o
nepral	ne pr a l -0	prát	pr á -t
prádelnímu	pr á del n -ímu	prádelní	pr á del n -í
prádle	pr á dl -e	prádlo	pr á dl -o
pradědkové	pra děd k -ové	pradědek	pra děd ek -0
pravěkých	pra věk -ých	pravěký	pra věk -ý
pracovně	prac ov n -ě	pracovna	prac ov n -a
pracovití	prac ovit -í	pracovitý	prac ovit -ý
prahu	prah -u	práh	práh -0
prahl	prah l -0	prahnout	prah nou -t
prachama	prach -ama	prachy	prach -y
nepraktikují	ne prakt ik uj -í	praktikovat	prakt ik ova -t
prasata	pras at -a	prase	pras -e
prasklo	prask l -o	prasknout	prask nou -t
praštíme	prašt í -me	praštit	prašt i -t
práv	práv -0	právo	práv -o
nepravdivé	ne prav d iv -é	pravdivý	prav d iv -ý
pravím	prav í -m	pravit	prav i -t
pravidel	prav i del -0	pravidlo	prav i dl -o
pravítkem	prav í tk -em	pravítko	prav í tk -o
pražskou	praž sk -ou	pražský	praž sk -ý
proběhám	pro běh á -m	proběhat	pro běh a -t
probodeni	pro bod en -i	probodnout	pro bod nou -t
probudila	pro bud i l -a	probudit	pro bud i -t
pročetl	pro čet l -0	pročíst	pro čís -t
prodáme	pro d á -me	prodat	pro d a -t
prohnula	pro h nu l -a	prohnout	pro h nou -t
neprohlašuju	ne pro hlaš uj -u	prohlašovat	pro hlaš ova -t
prohlédlo	pro hléd l -o	prohlédnout	pro hléd nou -t
projede	pro jed e -0	projet	pro je -t
projektován	pro jekt ová n -0	projektovat	pro jekt ova -t
projevovaly	pro jev ova l -y	projevovat	pro jev ova -t
projíždí	pro jížd í -0	projíždět	pro jížd ě -t
neprokáže	ne pro káž e -0	prokázat	pro káz a -t
proměňuje	pro měň uje -0	proměňovat	pro měň ova -t
promiňte	pro miň -te	prominout	pro mi nou -t
nepromluvím	ne pro mluv í -m	promluvit	pro mluv i -t
promočenými	pro moč en -ými	promočený	pro moč en -ý
pronajala	pro na j a l -a	pronajmout	pro na j mou -t
nepronesla	ne pro nes l -a	pronést	pro nés -t
propadli	pro pad l -i	propadnout	pro pad nou -t
propuknou	pro puk n ou -0	propuknout	pro puk nou -t
prorazí	pro raz í -0	prorazit	pro raz i -t
prosel	pro se l -0	prosít	pro sí -t
prospěšné	pro spěš n -é	prospěšný	pro spěš n -ý
prostředků	pro sřed k -ů	prostředek	pro střed ek -0
protáhlo	pro táh l -o	protáhnout	pro táh nou -t
neprovádim	ne pro vád i -m	provádět	pro vád ě -t
prozkoumáme	pro zkoum á -me	prozkoumat	pro zkoum a -t
prosím	pros í -m	prosit	pros i -t
protivíš	protiv í -š	protivit	protiv i -t
proužkem	prouž k -em	proužek	prouž ek -0
pršipláštích	prš +i plášt -ích	pršiplášť	prš i plášť -0
neprůhledné	ne prů hled n -é	průhledný	prů hled n -ý
průchodech	prů chod -ech	průchod	prů chod -0
průjezdech	prů jezd -ech	průjezd	prů jezd -0
přátelského	přátel sk -ého	přátelský	přátel sk -ý
přeběhly	při běh l -y	přeběhnout	pře běh nou -t
přečetl	pře čet l -0	přečíst	pře čís -t
přečká	pře čk á -0	přečkat	pře čk a -t
nepřeháněj	ne pře hán ěj -0	přehánět	pře hán ě -t
přehlédl	pře hléd l -0	přehlédnout	pře hléd nou -t
přehlušováno	pře hluš ová n -o	přehlušovat	pře hluš ova -t
přehozenou	pře hoz en -ou	přehozený	pře hoz en -ý
přecházejí	pře cház ej -í	přecházet	pře cház e -t
přešel	pře š e l -0	přejít	pře j í -t
překážek	pře káž ek -0	překážka	pře káž k -a
překladatelé	pře klad a tel -é	překladatel	pře klad a tel -0
překračuji	pře krač uj -i	překračovat	pře krač ova -t
nepřekročila	ne pře kroč i l -a	překročit	pře kroč i -t
překvapíme	pře kvap í -me	překvapit	pře kvap i -t
nepřekvapovala	ne pře kvap ova l -a	překvapovat	pře kvap ova -t
překypuje	pře kyp uje -0	překypovat	pře kyp ova -t
přelétávají	pře lét á v aj -í	přelétávat	pře lét á v a -t
přelila	pře li l -a	přelít	pře lí -t
přeložte	pře lož -te	přeložit	pře lož i -t
přemohla	pře moh l -a	přemoci	pře moc -i
nepřemýšlela	ne pře mýšl e l -a	přemýšlet	pře mýšl e -t
přeneseni	pře nes en -i	přenést	pře nés -t
přepadaly	pře pad a l -y	přepadat	pře pad a -t
přepíšete	pře píš e -te	přepsat	pře ps a -t
přesvědčen	pře s věd č en -0	přesvědčit	pře s věd č i -t
přestal	pře sta l -0	přestat	pře sta -t
přestavěn	pře stav ěn -0	přestavět	pře stav ě -t
přestěhují	pře stěh uj -í	přestěhovat	pře stěh ova -t
přesunuly	pře su nu l -y	přesunout	pře su nou -t
přetáhnou	pře táh n ou -0	přetáhnout	pře táh nou -t
převlékneš	pře vlék ne -š	převléknout	pře vlék nou -t
převzal	pře zv a l -0	převzít	pře vz í -t
přežila	pře ži l -a	přežít	pře ží -t
předpisům	před pis -ům	předpis	před pis -0
nepředpojatým	ne před po j a t -ým	předpojatý	před po j a t -ý
předpokládám	před po klád á -m	předpokládat	před po klád a -t
předsíni	před sín -i	předsíň	před síň -0
představuješ	před stav uje -š	představovat	před stav ova -t
předválečné	před váleč n -é	předválečný	před váleč n -ý
předvedl	před ved l -0	předvést	před vés -t
předešel	přede š e l -0	předejít	přede j í -t
přiběhli	při běh l -i	přiběhnout	při běh nou -t
nepřibouchla	ne při bouch l -a	přibouchnout	při bouch nou -t
příčin	př čin -0	příčina	pří čin -a
přihnul	při h nu l -0	přihnout	při h nou -t
přihodilo	při hod i l -o	přihodit	při hod i -t
příhodnějšího	pří hod n ějš -ího	příhodný	pří hod n -ý
přijal	při j a l -0	přijmout	při j mou -t
přijedou	při jed ou -0	přijet	při je -t
nepřijímejte	ne při jí mej -te	přijímat	při jím a -t
přijímacího	při jím ac -ího	přijímací	při jím ac -í
přijíždí	při jížd í -0	přijíždět	při jížd ě -t
příkazech	pří kaz -ech	příkaz	pří kaz -0
nepřikážu	ne při káž u -0	přikázat	při káz a -t
přikazuješ	při kaz uje -š	přikazovat	při kaz ova -t
přikován	při kov á n -0	přikovat	při kov a -t
přikrčen	při krč en -0	přikrčit	při krč i -t
nepřikryl	ne při kry l -0	přikrýt	při krý -t
přikývl	při kýv l -0	přikývnout	při kýv nou -t
přilehly	při leh l -y	přilehnout	při leh nou -t
přiletí	při let í -0	přiletět	při let ě -t
přiložen	při lož en -0	přiložit	při lož i -t
přimluv	při mluv -0	přimluvit	při mluv i -t
přinesla	při nes l -a	přinést	při nés -t
připjal	při pj a l -0	připnout	při p nou -t
připadlo	při pad l -o	připadnout	při pad nou -t
připomínaly	při po mín a l -y	připomínat	při po mín a -t
připrav	při prav -0	připravit	při prav i -t
přísahám	pří sah á -m	přísahat	pří sah a -t
příslušníci	pří sluš níc -i	příslušník	pří sluš ník -0
přistane	při sta ne -0	přistát	při st á -t
nepřistoupila	ne při stoup i l -a	přistoupit	při stoup i -t
přisuzovalo	při suz ova l -o	přisuzovat	při suz ova -t
přitaká	při tak á -0	přitakat	při tak a -t
přítěží	pří těž -í	přítěž	pří těž -0
přitiskne	při tisk ne -0	přitisknout	při tisk nou -t
přitisknutou	při tisk nu t -ou	přitisknutý	při tisk nu t -ý
přítomen	pří tom en -0	přítomný	pří tom n -ý
přituhly	při tuh l -y	přituhnout	při tuh nou -t
přivádí	při vád í -0	přivádět	při vád ě -t
přivážou	při váž ou -0	přivázat	při váz a -t
přived	při ved -0	přivést	při vés -t
přivez	při vez -0	přivézt	při véz -t
přivinul	při vi nu l -0	přivinout	při vi nou -t
nepřivolat	ne při vol a -t	přivolat	při vol a -t
přivřel	při vř e l -0	přivřít	při vř í -t
nepřivykl	ne při vyk l -0	přivyknout	při vyk nou -t
nepřiznal	ne při zn a l -0	přiznat	při zn a -t
předl	před l -0	příst	přís -t
přítelíčka	přítel íčk -a	přítelíček	přítel íček -0
přítelkyň	přítel kyň -0	přítelkyně	přítel kyn -ě
psala	ps a l -a	psát	ps á -t
pstruzi	pstruz -i	pstruh	pstruh -0
ptal	pt a l -0	ptát	pt á -t
ptáka	pták -a	pták	pták -0
publiku	publik -u	publikum	publ ik -um
publikací	publik ac -í	publikace	publik ac -e
pudem	pu d e -m	pud	pud -0
půlnoci	půl noc -i	půlnoc	půl noc -0
pusu	pus -u	pusa	pus -a
pusťte	pusť -te	pustit	pust i -t
pytlem	pytl -em	pytel	pytel -0
pytláci	pytl ác -i	pytlák	pytl ák -0
račte	rač -te	ráčit	ráč i -t
radnici	rad n ic -i	radnice	rad n ic -0
radiotelegrafisté	radio tele graf ist -é	radiotelegrafista	radio tele graf ist -a
rajčata	raj č at -a	rajče	raj č -e
rakve	rakv -e	rakev	rakev -0
rákosů	rákos -ů	rákos	rákos -0
ramena	ramen -a	rameno	ramen -o
ránu	rán -u	ráno	rán -o
raněnej	ran ěn -ej	raněný	ran ěn -ý
raní	ran í -0	ranit	ran i -t
razítky	raz í tk -y	razítko	raz í tk -o
rejdili	rejd i l -i	rejdit	rejd i -t
relací	relac -í	relace	relac -e
révovím	rév ov -ím	révoví	rév ov -í
riskuju	risk uj -u	riskovat	risk ova -t
rivalové	rival -ové	rival	rival -0
rodu	rod -u	rod	rod -0
rohem	roh -em	roh	roh -0
rojily	roj i l -y	rojit	roj i -t
rouru	rour -u	roura	rour -a
rozbíhá	roz bíh á -0	rozbíhat	roz bíh a -t
rozdrcen	roz drc en -0	rozdrtit	roz drt i -t
rozflákanej	roz flák a n -ej	rozflákaný	roz flák a n -ý
nerozhodně	ne roz hod n -ě	rozhodně	roz hod n -ě
rozhodnější	roz hod n ějš -í	rozhodný	roz hod n -ý
rozhodujeme	roz hod uje -me	rozhodovat	roz hod ova -t
rozhozenýma	roz hoz en -ýma	rozhozený	roz hoz en -ý
rozhrnuty	roz hr nu t -y	rozhrnout	roz hr nou -t
rozjedem	roz jed e -m	rozjet	roz j e -t
