vysoudit	vy-soud-i-t
zdatný	zdatn-ý
vchoulit	v-choul-i-t
moucha	mouch-a
napřít	na-př-í-t
skrývala	s-krýv-a-l-a
zrození	z-roz-en-í
kancelářích	kancelář-ích
mnohostranný	mnoh-o-stran-n-ý
cirkulovat	cirk-ul-ova-t
vykrystalovat	vy-krystal-ova-t
poznané	po-zn-a-n-é
prohlášení	pro-hláš-en-í
závislosti	zá-vis-l-ost-i
přestěhovat	pře-stěh-ova-t
velezrada	vele-z-rad-a
čarovat	čar-ova-t
kozu	koz-u
poznal	po-zn-a-l
jihokašmírský	jih-o-kašmír-sk-ý
dovezený	do-vez-en-ý
němý	něm-ý
zavětřit	za-větř-i-t
přijednat	při-jedn-a-t
jářku	jářku
budoucích	bud-ouc-ích
oblibovat	ob-lib-ova-t
stahovat	s-tah-ova-t
zlepšili	z-lep-š-i-l-i
jakém	jak-ém
lišit	liš-i-t
vyzískat	vy-získ-a-t
přezdívat	pře-z-dí-v-a-t
nadejchat	na-dejch-a-t
divit	div-i-t
mniši	mniš-i
maturita	matur-it-a
vyvát	vy-vá-t
hmoty	hmot-y
pocítit	po-cít-i-t
matika	matik-a
prokazujeme	pro-kaz-uje-me
mužnět	muž-n-ě-t
letoun	letoun
rozevlávat	roze-vl-á-v-a-t
rozjet	roz-je-t
vykládal	vy-klád-a-l
zašmejdit	za-šmejd-i-t
chodili	chod-i-l-i
zbečníku	zbečník-u
kvak	kvak
chien	chien
oflambovat	o-flamb-ova-t
rozbručet	roz-bruč-e-t
zvětšení	z-vět-š-en-í
kasírovat	kas-ír-ova-t
drobit	drob-i-t
jemného	jem-n-ého
zahnízdit	za-hnízd-i-t
tapiserií	tapiser-i-í
pobublávat	po-bubl-á-v-a-t
zachrastit	za-chrast-i-t
pomalovávat	po-mal-ová-v-a-t
modely	model-y
šenov	šen-ov
respektovat	re-spekt-ova-t
záruční	zá-ruč-n-í
půvabného	pů-vab-n-ého
zaštkat	za-štk-a-t
nasypat	na-syp-a-t
splývat	s-plý-v-a-t
podhrnovat	pod-hrn-ova-t
prokádrovat	pro-kádr-ova-t
samospádem	sam-o-s-pád-em
veřejně	veřej-n-ě
polepit	po-lep-i-t
vykašlem	vy-kašl-em
algonkinských	algonkinských
animum	anim-um
sekundární	sekund-árn-í
vitální	vitál-n-í
vytmelit	vy-tmel-i-t
tlumočit	tlumoč-i-t
upíral	u-pír-a-l
krizových	kriz-ov-ých
dostát	do-stá-t
závor	zá-vor
sluneční	slun-eč-n-í
přísahami	pří-sah-ami
chcát	chc-á-t
šár	šár
mocipán	moc-i-pán
vpravo	v-prav-o
umastit	u-mast-i-t
živo	ži-v-o
agrokomplex	agro-komplex
sýc	sýc
odmontovat	od-mont-ova-t
přivezl	při-vez-l
vtiskávat	v-tisk-á-v-a-t
tobě	t-ob-ě
kinotéka	kin-o-ték-a
geopark	geo-park
leva	lev-a
strukturovat	strukt-ur-ova-t
mara	mar-a
ztotožnit	z-to-tož-n-i-t
jíška	jíšk-a
ročníku	roč-n-ík-u
zákazníkům	zá-kaz-ník-ům
zajímavých	za-jím-a-v-ých
umívat	u-mí-v-a-t
podotknout	po-do-tk-nou-t
dráč	dráč
odečítat	ode-čít-a-t
průměrná	prů-měr-n-á
nežli	než-li
ušít	u-ší-t
etologií	et-o-log-i-í
horda	hord-a
monopolním	mono-pol-n-ím
statické	stat-ic-k-é
videonahrávka	video-na-hrá-v-k-a
předků	před-k-ů
ložnice	lož-nic-e
následovnímu	ná-sled-ov-n-ímu
odpovídáte	od-po-víd-á-te
geofyziky	geo-fyz-ik-y
ponořit	po-noř-i-t
připumpovat	při-pump-ova-t
zamakatelnost	za-mak-a-teln-ost
denního	den-n-ího
rozpadat	roz-pad-a-t
počátkem	po-čá-t-k-em
proklásti	pro-klás-ti
intenzifikovat	in-tenz-if-ik-ova-t
samonosný	sam-o-nos-n-ý
bob	bob
lehkoolejářský	lehk-o-olej-ář-sk-ý
úrokovat	ú-rok-ova-t
dřep	dřep
čiva	čiv-a
postřehy	po-střeh-y
vulgarizovat	vulg-ar-iz-ova-t
přimíchat	při-mích-a-t
děťátko	děť-át-k-o
věrolomnost	věr-o-lom-n-ost
bříšku	bříš-k-u
vyhnojit	vy-hnoj-i-t
parazit	para-zit
rozesmát	roze-smá-t
solarmax	solar-max
převážet	pře-váž-e-t
zvěř	zvěř
mořit	moř-i-t
zmátl	z-mát-l
osvobozen	o-svoboz-en
spolupracovníky	spolu-prac-ov-ník-y
znečitelňovaný	z-ne-či-telň-ova-n-ý
zulíbání	z-u-líb-á-n-í
dluhopis	dluh-o-pis
předchůdce	před-chůd-c-e
zarybařit	za-ryb-ař-i-t
imatrikulovat	i-matrik-ul-ova-t
hlásívat	hlás-í-v-a-t
usmál	u-smá-l
blšany	blšan-y
vysmekat	vy-s-mek-a-t
deep	deep
tuberkulóza	tuberkulóz-a
senzualisty	senz-u-al-ist-y
tyto	t-y-t-o
kasat	kas-a-t
koruny	korun-y
typy	typ-y
ťafnout	ťaf-nou-t
západoevropský	zá-pad-o-evrop-sk-ý
snovat	sn-ova-t
dubnu	dubn-u
potlachat	po-tlach-a-t
pochopitelně	po-chop-i-teln-ě
prodebatovávat	pro-de-bat-ová-v-a-t
féničančin	fénič-an-č-in
sluhu	sluh-u
vzpomínky	vz-po-mín-k-y
navštíví	navštív-í
denormalizace	de-norm-al-iz-ac-e
vystřebat	vy-střeb-a-t
občas	ob-čas
vtít	v-tí-t
lkát	lk-á-t
jenomže	jenom-že
zaprotestovat	za-pro-test-ova-t
karikovat	karik-ova-t
výsledky	vý-sled-k-y
zplaňovat	z-plaň-ova-t
členům	člen-ům
kratochvíl	kratochvíl
sponzorů	sponzor-ů
rozklábosit	roz-klábos-i-t
zavýt	za-vý-t
mikrokamera	mikro-kamer-a
celoevropskou	cel-o-evrop-sk-ou
honorací	honor-ac-í
telefonicky	tele-fon-ick-y
slosování	s-los-ová-n-í
zaměstnanost	za-měst-n-a-n-ost
diskokostým	disk-o-kostým
chumelit	chumel-i-t
sešmodrchat	se-šmodrch-a-t
uhoblovat	u-hobl-ova-t
straka	strak-a
parníkem	par-n-ík-em
odškrabovat	od-škrab-ova-t
hermetizovat	hermet-iz-ova-t
nováček	nov-áč-ek
usnadní	u-snadn-í
skipka	skipk-a
vláhonosnost	vláh-o-nos-n-ost
hustit	hust-i-t
klíčovat	klíč-ova-t
skroutit	s-krout-i-t
opnout	o-p-nou-t
benthama	bentham-a
vybójkovat	vy-bój-k-ova-t
vrstvit	vrstv-i-t
noetickému	noet-ic-k-ému
pokazil	po-kaz-i-l
rojit	roj-i-t
vršatka	vršatk-a
ředkviček	ředkv-iček
dotrápit	do-tráp-i-t
klidu	klid-u
usmíření	u-s-míř-en-í
biologickém	bio-log-ic-k-ém
fazolích	fazol-ích
mejtného	mejt-n-ého
ideodiverzní	ide-o-di-verz-n-í
aktuálně	akt-uál-n-ě
rozkydat	roz-kyd-a-t
vytermovázavší	vy-term-o-váz-a-vš-í
kopií	kop-i-í
uchroupnout	u-chroup-nou-t
rozchraptět	roz-chrapt-ě-t
správcovat	s-práv-c-ova-t
přepažit	pře-paž-i-t
obílit	o-bíl-i-t
sponzor	sponzor
televizní	tele-viz-n-í
štěbotat	štěb-ot-a-t
jednání	jedn-á-n-í
plymo	plym-o
docítil	do-cít-i-l
nasušit	na-suš-i-t
škodovat	škod-ova-t
vezmu	vez-m-u
zpružit	z-pruž-i-t
zašustět	za-šust-ě-t
udusávat	u-dus-á-v-a-t
zapnutý	za-p-nu-t-ý
přístupy	pří-stup-y
zkřísnout	z-křís-nou-t
gustav	gustav
splátky	s-plát-k-y
jízdě	jízd-ě
oboru	ob-or-u
svědectví	s-věd-ec-tv-í
nečetla	ne-čet-l-a
vyřaďovat	vy-řaď-ova-t
cválat	cvál-a-t
čočka	čoč-k-a
vyhoupat	vy-houp-a-t
děda	děd-a
popásat	po-pás-a-t
manasses	manasses
exponovat	ex-pon-ova-t
odvolávat	od-vol-á-v-a-t
vymáčkl	vy-máčk-l
skočím	skoč-í-m
utonuly	u-to-nu-l-y
norovat	nor-ova-t
bručel	bruč-e-l
hledisku	hled-isk-u
pat	pat
cidlina	cidlin-a
oscilovat	oscil-ova-t
vlach	vlach
pošplíchat	po-šplích-a-t
který	kter-ý
vybrat	vy-br-a-t
fjord	fjord
zpermutovat	z-per-mut-ova-t
řídit	říd-i-t
matko	mat-k-o
zazimovat	za-zim-ova-t
slitovat	s-lit-ova-t
smrtihlav	smrt-i-hlav
pochopili	po-chop-i-l-i
ráz	ráz
dívávat	dív-á-v-a-t
inkoustem	inkoust-em
celkovou	cel-k-ov-ou
sekund	sekund
spájet	s-páj-e-t
amnestovat	a-mnest-ova-t
zleknout	z-lek-nou-t
zaslibovat	za-slib-ova-t
prodáno	pro-d-á-n-o
mrazy	mraz-y
šátku	šát-k-u
vynucuje	vy-nuc-uje
vypni	vy-p-n-i
přecedit	pře-ced-i-t
hamilton	hamilton
utvrdnout	u-tvrd-nou-t
ztrojmocňovat	z-tr-oj-moc-ň-ova-t
zakoušet	za-kouš-e-t
rozsudek	roz-sud-ek
inžinýři	inžin-ýř-i
nářadí	ná-řad-í
popráskávat	po-prásk-á-v-a-t
jazykový	jazyk-ov-ý
volant	volant
chodívávat	chod-í-v-á-v-a-t
lepit	lep-i-t
jelitem	jelit-em
probůh	pro-bůh
hlasování	hlas-ová-n-í
říkáme	řík-á-me
zbýt	z-bý-t
reflexoterapie	re-flex-o-terap-i-e
úředníků	ú-řed-ník-ů
zamečet	za-meč-e-t
tenké	ten-k-é
krakelovací	krakel-ova-c-í
řeckoturecký	řec-k-o-turec-k-ý
platinovat	platin-ova-t
trestu	trest-u
častokrát	čast-o-krát
intelektuálně	intelekt-u-ál-n-ě
dutnout	dut-nou-t
celotýdenní	cel-o-týden-n-í
zakvílet	za-kvíl-e-t
pošívat	po-ší-v-a-t
rozmačkávat	roz-mačk-á-v-a-t
neudělali	ne-u-děl-a-l-i
dávají	d-á-v-aj-í
passo	pass-o
zasmrádat	za-smrád-a-t
zvykli	z-vyk-l-i
půlmistra	půl-mistr-a
sedmiměsíční	sedm-i-měsíč-n-í
maniokoví	maniok-ov-í
hřešil	hřeš-i-l
sklátit	s-klát-i-t
vzdálena	vz-dál-en-a
neodborník	ne-od-bor-n-ík
prchat	prch-a-t
dědečkův	děd-ečk-ův
sporných	s-por-n-ých
nicole	nicol-e
ohlušující	o-hluš-uj-íc-í
ucha	uch-a
tenderminded	tenderminded
ducha	duch-a
posílil	po-síl-i-l
připlítat	při-plít-a-t
nespadla	ne-s-pad-l-a
flanc	flanc
vykružovat	vy-kruž-ova-t
letohrad	let-o-hrad
spočtený	s-po-čt-en-ý
báb	báb
proklít	pro-klí-t
tisknou	tisk-n-ou
vyváženě	vy-váž-en-ě
nasáknout	na-sák-nou-t
fík	fík
schumacher	schumacher
knihovna	knih-ovn-a
vyzvedat	vy-z-ved-a-t
nakácet	na-kác-e-t
třízápasový	tř-í-zápas-ov-ý
záznamník	zá-znamn-ík
pohroužit	po-hrouž-i-t
tank	tank
hodnotíte	hod-n-ot-í-te
poslintat	po-slint-a-t
zakalit	za-kal-i-t
hofmann	hofmann
sedmnáctiletý	sedm-náct-i-let-ý
dvourámkový	dv-ou-rám-k-ov-ý
opraskávat	o-prask-á-v-a-t
odezvy	ode-zv-y
převálet	pře-vál-e-t
atraktivní	a-trakt-iv-n-í
zatracenou	za-trac-en-ou
probodat	pro-bod-a-t
sledují	sled-uj-í
bohoslužba	boh-o-služ-b-a
nahamonit	na-hamon-i-t
jedu	jed-u
prognóza	pro-gnóz-a
rychlopoma	rychl-o-pom-a
záporné	zá-por-n-é
aktinometrie	aktinometrie
hulín	hulín
existujícího	exist-uj-íc-ího
provážet	pro-váž-e-t
špagát	špag-át
stýskat	s-týsk-a-t
keith	keith
krušanov	kruš-an-ov
koncedovat	kon-ced-ova-t
zachrochtat	za-chrocht-a-t
řezničit	řez-nič-i-t
uchystej	u-chyst-ej
svíjela	s-víj-e-l-a
kubát	kubát
hana	han-a
sobotní	sobot-n-í
mizivé	miz-iv-é
štych	štych
tiskárna	tisk-árn-a
nechápavka	ne-cháp-a-v-k-a
zacyklit	za-cykl-i-t
britského	brit-sk-ého
přechylovat	pře-chyl-ova-t
začistit	za-čist-i-t
orijentální	orijent-ál-n-í
spolupracovat	spolu-prac-ova-t
spádný	spádn-ý
cvičením	cvič-en-ím
subjektivních	sub-jekt-iv-n-ích
narozeniny	na-roz-en-in-y
dělání	děl-á-n-í
vytancovat	vy-tanc-ova-t
ťafka	ťafk-a
území	ú-zem-í
úsvit	ú-svit
předvolební	před-vol-eb-n-í
kuriozity	kurioz-it-y
zapáčit	za-páč-i-t
drilovat	dril-ova-t
utkvít	u-tkv-í-t
pojímá	po-jím-á
způsobil	z-pů-sob-i-l
spellchecker	spell-check-er
připlácet	při-plác-e-t
zahrává	za-hrá-v-á
fyzioterapie	fyzio-terap-i-e
ministrany	mini-stran-y
děkujeme	děk-uje-me
olešnice	oleš-nic-e
navzorkovaný	na-vzor-k-ova-n-ý
bít	bí-t
usnést	u-s-nés-t
samcoložník	samc-o-lož-n-ík
stroji	stroj-i
zarámovány	za-rám-ová-n-y
zazářily	za-zář-i-l-y
nacionalizovat	nac-ion-al-iz-ova-t
přestat	pře-sta-t
ustoupit	u-stoup-i-t
živnout	živ-n-out
hajzl	hajzl
debut	debut
rozlítat	roz-lít-a-t
oloupil	o-loup-i-l
zdokumentovat	z-doku-ment-ova-t
vlád	vlád
trempovat	tremp-ova-t
homologovat	homo-log-ova-t
dobouřit	do-bouř-i-t
znovustvořit	znovu-s-tvoř-i-t
semeno	sem-en-o
dolítnout	do-lít-nou-t
pancéřových	pancéř-ov-ých
strčila	strč-i-l-a
asimilovati	a-simil-ova-ti
spolehnout	s-po-leh-nou-t
zapérovat	za-pér-ova-t
doporučovat	do-po-ruč-ova-t
známého	zn-á-m-ého
roha	roh-a
spojovat	s-poj-ova-t
výkladu	vý-klad-u
zmek	zmek
rovnoběžný	rovn-o-běž-n-ý
spočíval	s-počí-v-a-l
odpornou	od-por-n-ou
rozpadavý	roz-pad-a-v-ý
poškubnout	po-škub-nou-t
kapsičkách	kaps-ičk-ách
jabloní	jabl-on-í
opancířovat	o-pancíř-ova-t
ruplo	rup-l-o
přihopkat	při-hop-k-a-t
moře	moř-e
rozsudku	roz-sud-k-u
suplovat	supl-ova-t
vezme	vez-m-e
bytové	byt-ov-é
lob	lob
kern	kern
přivtěluje	při-v-těl-uje
natlačovat	na-tlač-ova-t
pohled	po-hled
zenit	zenit
strejčkovat	strejč-k-ova-t
obyvatelstvo	o-by-v-a-tel-stv-o
vkapovat	v-kap-ova-t
slíznout	s-líz-nou-t
bělohubý	běl-o-hub-ý
zvýhodňovat	z-vý-hod-ň-ova-t
zakdákat	za-kdák-a-t
zreagovat	z-re-ag-ova-t
úžasného	ú-žas-n-ého
metodami	metod-ami
jihu	jih-u
zasvětlit	za-svět-l-i-t
oplítat	o-plít-a-t
končívat	konč-í-v-a-t
prosívat	pro-sí-v-a-t
otestovat	o-test-ova-t
obsloužit	ob-slouž-i-t
vysypat	vy-syp-a-t
zaklokotat	za-klok-ot-a-t
nebrat	ne-br-a-t
intelektuálními	intelekt-uál-n-ími
propěstit	pro-pěst-i-t
céva	cév-a
nadloubat	na-dloub-a-t
pochutinu	po-chut-in-u
prosévat	pro-sé-v-a-t
deklarovanému	de-klar-ova-n-ému
drc	drc
lyrika	lyr-ik-a
poroučel	po-rouč-e-l
postihovat	po-stih-ova-t
předesílat	přede-síl-a-t
zavzlykl	za-vz-lyk-l
živý	ži-v-ý
keramickou	keramic-k-ou
milovaná	mil-ova-n-á
umlet	u-ml-e-t
snívat	sn-í-v-a-t
vypuknout	vy-puk-nou-t
mzdovou	mzd-ov-ou
přiznat	při-zn-a-t
přijíždí	při-jížd-í
vynalezené	vy-na-lez-en-é
zaměstnanci	za-měst-n-an-c-i
sestříhat	se-stříh-a-t
tříkilometrový	tř-í-kilo-metr-ov-ý
zvaných	zv-a-n-ých
odklánět	od-klán-ě-t
kašírovat	kaš-ír-ova-t
nazul	na-zu-l
policejního	polic-ej-n-ího
plukovník	pluk-ov-n-ík
odpustit	od-pust-i-t
práškovat	práš-k-ova-t
marnotratného	mar-n-o-trat-n-ého
romantickost	romant-ic-k-ost
příliv	pří-li-v
okamžitě	ok-a-mžit-ě
zazlívat	za-zlí-v-a-t
janků	jan-k-ů
opravovat	o-prav-ova-t
pančovat	panč-ova-t
dýku	dýk-u
vykulhávaně	vy-kulh-á-v-a-n-ě
přesvědčovat	pře-s-věd-č-ova-t
kefurt	kefurt
krbař	krbař
zaruměnět	za-ruměn-ě-t
ošklivit	oškl-iv-i-t
předznamenat	před-znam-en-a-t
domýt	do-mý-t
úmrtí	ú-mr-t-í
nasliněným	na-slin-ěn-ým
mimoň	mimoň
ozlatit	o-zlat-i-t
kviklo	kvik-l-o
bloomberg	bloom-berg
lhát	lh-á-t
trpěti	trp-ě-ti
puntík	puntík
studovaný	stud-ova-n-ý
vatra	vatr-a
vykynout	vy-kyn-ou-t
procedury	proced-ur-y
přemnohý	pře-mnoh-ý
uznali	u-zn-a-l-i
šestihodinový	šest-i-hodin-ov-ý
zach	zach
mountfield	mount-field
žížalu	žížal-u
zapichovat	za-pich-ova-t
rozchlípit	roz-chlíp-i-t
interdiecézních	inter-diecéz-n-ích
zablikat	za-blik-a-t
ukapávat	u-kap-á-v-a-t
pošramotit	po-šram-ot-i-t
verš	verš
tendr	tendr
nazírat	na-zír-a-t
závislý	zá-vis-l-ý
zhmotnět	z-hmot-n-ě-t
lesklý	lesk-l-ý
sešinout	se-šin-ou-t
změnách	z-měn-ách
prokrajovat	pro-kraj-ova-t
západoalžírský	zá-pad-o-alžír-sk-ý
chladno	chlad-n-o
šup	šup
podpisy	pod-pis-y
hastrman	hastr-man
zužitkovat	z-u-ži-t-k-ova-t
havarovat	havar-ova-t
šli	š-l-i
pětatřicátník	pět-a-tř-i-cát-ník
rozžvykovat	roz-žvyk-ova-t
odehnat	ode-hn-a-t
přibrzďovat	při-brzď-ova-t
brvou	brv-ou
znovuvysvěcení	z-nov-u-vy-svěc-en-í
americká	americ-k-á
smejkal	smejk-a-l
bezprostředně	bez-pro-střed-n-ě
smiřuje	s-miř-uje
umělců	um-ě-l-c-ů
východočeský	vý-chod-o-čes-k-ý
reálné	reál-n-é
poliklinika	poli-klinik-a
cauda	caud-a
akci	akc-i
pokuřovat	po-kuř-ova-t
videorekordér	vide-o-rekord-ér
unus	unus
kanady	kanad-y
okovat	o-kov-a-t
nervóznit	nerv-óz-n-i-t
cetka	cetk-a
básnit	básn-i-t
hovořili	hovoř-i-l-i
kužel	kužel
vplétat	v-plét-a-t
spolku	spol-k-u
sklepácky	sklep-ác-k-y
stojmo	stojm-o
klen	klen
vyslovil	vy-slov-i-l
klesl	kles-l
vyblbnout	vy-blb-nou-t
biotým	bio-tým
zlatotepec	zlat-o-tep-ec
kšír	kšír
tulit	tul-i-t
fyzické	fyzi-c-k-é
zakřivovat	za-křiv-ova-t
dokončení	do-konč-en-í
dobrousit	do-brous-i-t
opakuju	o-pak-uj-u
dohazoval	do-haz-ova-l
exligový	ex-lig-ov-ý
afriku	afrik-u
porůstat	po-růst-a-t
otevřeným	ote-vř-e-n-ým
taktizovat	takt-iz-ova-t
houšť	houšť
bonn	bonn
přítomných	pří-t-om-n-ých
hadždže	hadždž-e
zápalem	zá-pal-em
hladověli	hlad-ov-ě-l-i
jihokurilský	jih-o-kuril-sk-ý
zasvědět	za-svěd-ě-t
nosánek	nos-án-ek
prohloubitelný	pro-hloub-i-teln-ý
samoopravném	sam-o-o-prav-n-ém
odlišný	od-liš-n-ý
rozmachu	roz-mach-u
zrušenou	z-ruš-en-ou
úmyslný	ú-mysl-n-ý
vnitrolebeční	v-nitr-o-leb-eč-n-í
zvyklý	z-vyk-l-ý
odborníky	od-bor-n-ík-y
vploužit	v-plouž-i-t
podklouzávat	pod-klouz-á-v-a-t
vypárávat	vy-pár-á-v-a-t
charta	chart-a
svobodní	svobod-n-í
šmirglpapír	šmirgl-papír
troštovávající	trošt-ová-v-aj-íc-í
zrestringovat	z-re-string-ova-t
protilátka	proti-lát-k-a
přízemí	pří-zem-í
předstírající	před-s-tír-aj-íc-í
správněji	s-práv-n-ěji
potlouci	po-tlouc-i
grant	grant
opeřovat	o-peř-ova-t
kuropění	kur-o-pě-n-í
obraně	o-bran-ě
prastarý	pra-star-ý
každodenním	každ-o-den-n-ím
vyslat	vy-sl-a-t
nevěšejí	ne-věš-ej-í
ženy	žen-y
reprezentaci	re-prezent-ac-i
samý	sam-ý
sociální	soci-ál-n-í
rozepínat	roze-pín-a-t
podplítat	pod-plít-a-t
výjev	vý-jev
jsme	js-me
nabídek	na-bíd-ek
polosoukromou	polo-soukrom-ou
slétávat	s-lét-á-v-a-t
odchylovanost	od-chyl-ova-n-ost
silného	sil-n-ého
roku	rok-u
hlášeni	hláš-en-i
ptáčkové	ptáč-k-ové
vojanské	voj-an-sk-é
výčitek	vý-čit-e-k
vyvede	vy-ved-e
postát	po-stá-t
vykoukat	vy-kouk-a-t
vod	vod
veletrhů	vele-trh-ů
činí	čin-í
rudnou	rud-n-ou
splavňovat	s-plav-ň-ova-t
zpěvačka	z-pě-v-a-č-k-a
afghánský	afghán-sk-ý
kamaráde	kamarád-e
krotnout	krot-nou-t
pohoršeně	po-hor-š-en-ě
do	do
znásobit	z-ná-sob-i-t
zotvírat	z-ot-vír-a-t
zakouším	za-kouš-í-m
načesávat	na-čes-á-v-a-t
makroúdaj	makro-ú-daj
vlasatět	vlas-at-ě-t
vyprosit	vy-pros-i-t
devalvovat	de-valv-ova-t
opakovaného	o-pak-ova-n-ého
přilepšovat	při-lep-š-ova-t
vhupkat	v-hup-k-a-t
oddati	od-d-a-ti
zedníkům	zed-ník-ům
energetizovaný	energ-et-iz-ova-n-ý
užito	u-ži-t-o
blovice	blov-ic-e
sát	sá-t
faksimile	fak-simil-e
cíle	cíl-e
holt	holt
prolil	pro-li-l
sazba	saz-b-a
dovečeřet	do-večeř-e-t
duhový	duh-ov-ý
rozhlodávat	roz-hlod-á-v-a-t
drak	drak
jaká	jak-á
měla	m-ě-l-a
umíraje	u-mír-aj-e
gatích	gat-ích
ostravě	ostrav-ě
zavláčet	za-vláč-e-t
zahašení	za-haš-en-í
rozevřely	roze-vř-e-l-y
políčkovat	po-líč-k-ova-t
sázel	sáz-e-l
ozobat	o-zob-a-t
milionu	mili-on-u
obetkávat	obe-tk-á-v-a-t
samozřejmý	sam-o-zř-ej-m-ý
rozbalit	roz-bal-i-t
fazole	fazol-e
desetikoruna	deset-i-korun-a
odbrouknout	od-brouk-nou-t
science	science
mínil	mín-i-l
odsvětit	od-svět-i-t
kotálet	kotál-e-t
přivydělat	při-vy-děl-a-t
shlížet	s-hlíž-e-t
potkáme	po-tk-á-me
vokecat	vo-kec-a-t
kopie	kopi-e
obtíž	ob-tíž
terry	terry
dmýchávat	dmých-á-v-a-t
dnešních	dneš-n-ích
vlkodav	vlk-o-dav
pršipláštích	prš-i-plášt-ích
dohřát	do-hřá-t
kruhy	kruh-y
lezl	lez-l
sam	sam
ilona	ilon-a
srb	srb
vykrámovat	vy-krám-ova-t
doříznout	do-říz-nou-t
dosvědčit	do-s-věd-č-i-t
zatížením	za-tíž-en-ím
přešetřovat	pře-šetř-ova-t
pravd	prav-d
klučit	kluč-i-t
použit	po-u-ži-t
upřísti	u-přís-ti
navážit	na-váž-i-t
ohlídne	o-hlíd-n-e
škodovek	škod-ovek
kulturistika	kult-ur-ist-ik-a
rachtat	racht-a-t
postrkávat	po-strk-á-v-a-t
vítězně	vítěz-n-ě
rozmočit	roz-moč-i-t
vyvěštit	vy-věšt-i-t
poslovenštit	po-sloven-št-i-t
skončil	s-konč-i-l
režisér	režis-ér
zabijeme	za-bi-je-me
pravdu	prav-d-u
naanimovat	na-anim-ova-t
aortokoronární	aort-o-koron-árn-í
zapisovat	za-pis-ova-t
bankovních	bank-ovn-ích
zapráskat	za-prásk-a-t
durdit	durd-i-t
velmoci	vel-moc-i
odloudit	od-loud-i-t
dobrat	do-br-a-t
techtle	techtl-e
krmen	krm-en
hřála	hřá-l-a
klíště	klíšt-ě
odchlípnout	od-chlíp-nou-t
přijmout	při-jm-ou-t
parlamentem	parlament-em
kniha	knih-a
potěšit	po-těš-i-t
připražit	při-praž-i-t
okout	o-kou-t
vyšetřovat	vy-šetř-ova-t
zhášet	z-háš-e-t
odvelet	od-vel-e-t
mudrovat	mudr-ova-t
potrefit	po-tref-i-t
nejmilejší	nej-mil-ejš-í
leopoldii	leopoldii
bath	bath
někdejší	někd-ejš-í
vyštelovat	vy-štel-ova-t
povykoval	po-vyk-ova-l
průhledný	prů-hled-n-ý
přepočísti	pře-po-čís-ti
vak	vak
počkejme	po-čk-ej-me
drápky	dráp-k-y
zhyzdit	z-hyzd-i-t
geodezie	geo-dez-i-e
okecávat	o-kec-á-v-a-t
kameramana	kamer-a-man-a
pracovnice	prac-ov-nic-e
úděsem	ú-děs-em
mnohačetných	mnoh-a-čet-n-ých
plavkařčin	plav-k-ař-č-in
potud	po-t-ud
dokrájet	do-kráj-e-t
poodskočit	po-od-skoč-i-t
ústavodárce	ú-stav-o-dár-c-e
krypta	krypt-a
sobota	sobot-a
vyhýbat	vy-hýb-a-t
slovíčkařit	slov-íč-k-ař-i-t
vynaložením	vy-na-lož-en-ím
zachráním	za-chrán-í-m
vysprchovat	vy-s-prch-ova-t
vpíchat	v-pích-a-t
zlovit	z-lov-i-t
delicti	de-lict-i
nachovět	nach-ov-ě-t
zasmát	za-smá-t
lovuchtivý	lov-u-cht-iv-ý
vzduchoplavba	vzduch-o-plav-b-a
lak	lak
obvazy	ob-vaz-y
skrajovat	s-kraj-ova-t
hýčkávat	hýč-k-á-v-a-t
kyjov	kyj-ov
pámbuví	pámbuví
odvábit	od-váb-i-t
hezký	hez-k-ý
sedlat	sed-l-a-t
dodány	do-d-á-n-y
zfilmovatit	z-film-ov-at-i-t
ševcovat	ševc-ova-t
střídání	stříd-á-n-í
dvojnásobek	dv-oj-ná-sob-ek
nepodnikl	ne-pod-nik-l
přivandrovat	při-vandr-ova-t
nenapadne	ne-na-pad-ne
tajemník	taj-em-ník
ukrýt	u-krý-t
podnikávat	pod-nik-á-v-a-t
palermu	palerm-u
varovat	var-ova-t
siňore	siňor-e
zemský	zem-sk-ý
pojímat	po-jím-a-t
začisťovat	za-čisť-ova-t
peřině	peř-in-ě
potrestat	po-trest-a-t
iberia	iber-i-a
utrhnout	u-trh-nou-t
biatlon	biatlon
závodě	zá-vod-ě
bohabojný	boh-a-boj-n-ý
zajásat	za-jás-a-t
odparovat	od-par-ova-t
zakrojit	za-kroj-i-t
roztřepat	roz-třep-a-t
pořádně	po-řád-n-ě
terč	terč
literární	liter-ár-n-í
vápenět	vápen-ě-t
zinscenovat	z-in-scen-o-vat
seznámit	se-znám-i-t
však	však
případů	pří-pad-ů
pragmatisty	pragm-at-ist-y
neopren	neopren
kozlíku	koz-lík-u
přecvakávat	pře-cvak-á-v-a-t
samečka	sam-eč-k-a
komentáře	koment-ář-e
zavirovávat	za-vir-ová-v-a-t
tvrdé	tvrd-é
inhibovat	in-hib-ova-t
dolehnout	do-leh-nou-t
diky	dik-y
přebírat	pře-bír-a-t
bujně	buj-n-ě
telefonický	tele-fon-ick-ý
odchovávat	od-chov-á-v-a-t
kaktusu	kaktus-u
neuland	neuland
utéci	u-téc-i
mrcají	mrc-aj-í
tragizovat	trag-iz-ova-t
krmívat	krm-í-v-a-t
chef	chef
veš	veš
spráskat	s-prásk-a-t
