Adding relation source: Homér#NNM??-----A---?, target smích#NNI??-----A---? which was originaly root
Adding relation source: hypokoristikon#NNI??-----A---?, target hypokoristikon#NNN??-----A---- which is root of tree containing hypokoristický#AA???----??---? which is derivation of hypokoristikon#NNI??-----A---? or some of his children
Adding relation source: hypotéza#NNF??-----A---?, target hypotetický#AA???----??---? which was originaly root
Adding relation source: hřídel#NNI??-----A---?, target hřídel#NNF??-----A---? which is root of tree containing hřídelový#AA???----??---? which is derivation of hřídel#NNI??-----A---? or some of his children
Adding relation source: ideál#NNI??-----A---?, target idealizmus#NNI??-----A---? which is root of tree containing idealistický#AA???----??---? which is derivation of ideál#NNI??-----A---? or some of his children
Adding relation source: impérium#NNN??-----A---?, target imperiální#AA???----??---? which was originaly root
Adding relation source: impérium#NNN??-----A---?, target imperátor#NNM??-----A---? which was originaly root
Adding relation source: infekce#NNF??-----A---?, target infikovat#V????--??-??B?? which is root of tree containing dezinfikovat#V????--??-??B?? which is derivation of infekce#NNF??-----A---? or some of his children
Adding relation source: inkoust#NNM??-----A---?, target inkoust#NNI??-----A---? which is root of tree containing inkoustový#AA???----??---? which is derivation of inkoust#NNM??-----A---? or some of his children
Adding relation source: instituce#NNF??-----A---?, target institut#NNI??-----A---? which was originaly root
Adding relation source: intendant#NNM??-----A---?, target intendance#NNF??-----A---? which was originaly root
Adding relation source: intenzita#NNF??-----A---?, target intenzivní#AA???----??---? which was originaly root
Adding relation source: interes#NNI??-----A---?, target interesantní#AA???----??---? which was originaly root
Adding relation source: inverze#NNF??-----A---?, target inverzní#AA???----1?---? which was originaly root
Adding relation source: inzerát#NNI??-----A---?, target inzert#NNI??-----A---? which is root of tree containing inzertní#AA???----1?---? which is derivation of inzerát#NNI??-----A---? or some of his children
Adding relation source: jarý#AA???----??---?, target rozjařit#V????--??-??P?? which is root of tree containing rozjařený#AA???----??---? which is derivation of jarý#AA???----??---? or some of his children
Adding relation source: jazyk#NNM??-----A---?, target jazyk#NNI??-----A---? which is root of tree containing jazýček#NNI??-----A---? which is derivation of jazyk#NNM??-----A---? or some of his children
Adding relation source: jazz#AAXXX----1A----, target jazzman#NNM??-----A---? which was originaly root
Adding relation source: jet#NNI??-----A---?, target jet#V???---??-??I?? which is root of tree containing ujet#V????--??-??P?? which is derivation of jet#NNI??-----A---? or some of his children
Adding relation source: jevit#V????--??-??I??, target výjev#NNI??-----A---? which was originaly root
Adding relation source: jevit#V????--??-??I??, target najevo#Db------------- which was originaly root
Adding relation source: jih#NNI??-----A---?, target jihnout#V????--??-??I?? which was originaly root
Adding relation source: jikra#NNF??-----A---?, target jikernatý#AA???----??---? which was originaly root
Adding relation source: jikra#NNF??-----A---?, target jikernáč#NNM??-----A---? which was originaly root
Adding relation source: jmout#V????--??-??B??, target sněmovat#V????--??-??I?? which was originaly root
Adding relation source: jmout#V????--??-??B??, target jet#NNI??-----A---? which is root of tree containing objetí#NNN??-----?---? which is derivation of jmout#V????--??-??B?? or some of his children
Adding relation source: jubileum#NNN??-----A---?, target jubilovat#V????--??-??I?? which was originaly root
Adding relation source: judikát#NNI??-----A---?, target judikatura#NNF??-----A---? which was originaly root
Adding relation source: junker#NNI??-----A---?, target junker#NNM??-----A---? which is root of tree containing junkerský#AA???----??---? which is derivation of junker#NNI??-----A---? or some of his children
Adding relation source: junák#NNI??-----A---?, target junák#NNM??-----A---? which is root of tree containing junácký#AA???----??---? which is derivation of junák#NNI??-----A---? or some of his children
Adding relation source: jura#NNF??-----A---?, target Jiří#NNM??-----A---? which is root of tree containing jurský#AA???----??---? which is derivation of jura#NNF??-----A---? or some of his children
Adding relation source: játra#NNN??-----A---?, target paštika#NNF??-----A---? which is root of tree containing játrovka#NNF??-----A---? which is derivation of játra#NNN??-----A---? or some of his children
Adding relation source: jíní#NNN??-----A---?, target jinovatka#NNF??-----A---? which was originaly root
Adding relation source: jíst#V????--??-??I??, target jedle#NNF??-----A---? which is root of tree containing jedlička#NNF??-----A---? which is derivation of jíst#V????--??-??I?? or some of his children
Adding relation source: jóga#NNF??-----A---?, target jogistický#AA???----??---? which was originaly root
Adding relation source: kalich#NNI??-----A---?, target kalíš#NNI??-----A---? which is root of tree containing kalíšek#NNI??-----A---? which is derivation of kalich#NNI??-----A---? or some of his children
Adding relation source: kam#Db-----------??, target pak#Db------------- which is root of tree containing kampak#Db------------- which is derivation of kam#Db-----------?? or some of his children
Adding relation source: kamera#NNF??-----A---?, target kameraman#NNM??-----A---? which was originaly root
Adding relation source: kandidát#NNM??-----A---?, target kandidovat#V????--??-??I?? which was originaly root
Adding relation source: kandidát#NNM??-----A---?, target list#NNI??-----A---? which is root of tree containing kandidátka#NNF??-----A---? which is derivation of kandidát#NNM??-----A---? or some of his children
Adding relation source: kanon#NNI??-----A---?, target kanonýr#NNM??-----A---? which was originaly root
Adding relation source: kapitál#NNI??-----A---?, target kapitála#NNF??-----A---? which is root of tree containing kapitálový#AA???----??---? which is derivation of kapitál#NNI??-----A---? or some of his children
Adding relation source: kapka#NNF??-----A---?, target kápnout#V????--??-??P?? which is root of tree containing ukápnout#V????--??-??P?? which is derivation of kapka#NNF??-----A---? or some of his children
Adding relation source: karikatura#NNF??-----A---?, target karikovat#V????--??-??I?? which is root of tree containing zkarikovat#V????--??-??P?? which is derivation of karikatura#NNF??-----A---? or some of his children
Adding relation source: kat#NNM??-----A---?, target katit#V????--??-??I?? which is root of tree containing rozkatit#V????--??-??P?? which is derivation of kat#NNM??-----A---? or some of his children
Adding relation source: kat#NNM??-----A---?, target Katov#NNI??-----A---? which is root of tree containing katovský#AA???----??---? which is derivation of kat#NNM??-----A---? or some of his children
Adding relation source: katalýza#NNF??-----A---?, target katalyzační#AA???----??---? which was originaly root
Adding relation source: katechizmus#NNI??-----A---?, target katecheze#NNF??-----A---? which was originaly root
Adding relation source: katechizmus#NNI??-----A---?, target katecheta#NNM??-----A---? which was originaly root
Adding relation source: kejkle#NNIP?-----A---?, target kejkle#NNFP?-----A---? which is root of tree containing kejklířský#AA???----??---? which is derivation of kejkle#NNIP?-----A---? or some of his children
Adding relation source: keř#NNI??-----A---?, target zákeřný#AA???----??---? which was originaly root
Adding relation source: kiks#NNI??-----A---?, target kiksat#V????--??-??I?? which is root of tree containing kiksnout#V????--??-??P?? which is derivation of kiks#NNI??-----A---? or some of his children
Adding relation source: klas#NNI??-----A---?, target klasa#NNF??-----A---? which is root of tree containing klasový#AA???----??---? which is derivation of klas#NNI??-----A---? or some of his children
Adding relation source: klenot#NNM??-----A---?, target klenot#NNI??-----A---? which is root of tree containing klenotník#NNM??-----A---? which is derivation of klenot#NNM??-----A---? or some of his children
Adding relation source: klesat#V????--??-??I??, target podklesat#V????--??-??I?? which is root of tree containing podklesávat#V????--??-??I?? which is derivation of klesat#V????--??-??I?? or some of his children
Adding relation source: klestit#V????--??-??I??, target kleštit#V????--??-??I?? which is root of tree containing vykleštit#V????--??-??P?? which is derivation of klestit#V????--??-??I?? or some of his children
Adding relation source: klečet#V????--??-??I??, target přikleknout#V????--??-??P?? which was originaly root
Adding relation source: klient#NNI??-----A---?, target klient#NNM??-----A---? which is root of tree containing klientela#NNF??-----A---? which is derivation of klient#NNI??-----A---? or some of his children
Adding relation source: klopotit#V????--??-??I??, target klopota#NNF??-----A---? which is root of tree containing klopotný#AA???----??---? which is derivation of klopotit#V????--??-??I?? or some of his children
Adding relation source: klovat#V????--??-??I??, target klofan#NNI??-----A---? which is root of tree containing klofanec#NNI??-----A---? which is derivation of klovat#V????--??-??I?? or some of his children
Adding relation source: kláda#NNF??-----A---?, target klást#V????--??-??I?? which is root of tree containing kladina#NNF??-----A---? which is derivation of kláda#NNF??-----A---? or some of his children
Adding relation source: koalice#NNF??-----A---?, target koala#NNF??-----A---? which is root of tree containing koalovat#V????--??-??B?? which is derivation of koalice#NNF??-----A---? or some of his children
Adding relation source: koherence#NNF??-----A---?, target koheze#NNF??-----A---? which was originaly root
Adding relation source: kohout#NNI??-----A---?, target kohout#NNM??-----A---? which is root of tree containing kohoutí#AA???----1A---? which is derivation of kohout#NNI??-----A---? or some of his children
Adding relation source: kohout#NNI??-----A---?, target kohoutit#V????--??-??I?? which was originaly root
Adding relation source: koketa#NNF??-----A---?, target koketerie#NNF??-----A---? which was originaly root
Adding relation source: kolaps#NNI??-----A---?, target kolabovat#V????--??-??I?? which is root of tree containing zkolabovat#V????--??-??P?? which is derivation of kolaps#NNI??-----A---? or some of his children
Adding relation source: kolega#NNM??-----A----, target collegium#NNN??-----A---? which is root of tree containing kolegium#NNN??-----A---? which is derivation of kolega#NNM??-----A---- or some of his children
Adding relation source: kolo#NNN??-----A---?, target kola#NNF??-----A---? which is root of tree containing kolový#AA???----??---? which is derivation of kolo#NNN??-----A---? or some of his children
Adding relation source: kolos#NNM??-----A---?, target kolos#NNI??-----A---? which is root of tree containing kolosální#AA???----??---? which is derivation of kolos#NNM??-----A---? or some of his children
Adding relation source: kolportovat#V????--??-??I??, target kolportáž#NNF??-----A---? which was originaly root
Adding relation source: kombajn#NNI??-----A---?, target kombajnista#NNM??-----A---? which was originaly root
Adding relation source: konec#NNI??-----A---?, target dokonce#Db------------- which was originaly root
Adding relation source: konference#NNF??-----A---?, target konferovat#V????--??-??I?? which was originaly root
Adding relation source: konstance#NNF??-----A---?, target konstanta#NNF??-----A---? which was originaly root
Adding relation source: konstituce#NNF??-----A---?, target konstituovat#V????--??-??B?? which was originaly root
Adding relation source: konverze#NNF??-----A---?, target konvertor#NNI??-----A---? which was originaly root
Adding relation source: kopat#V????--??-??I??, target bota#NNF??-----A---? which is root of tree containing kopačka#NNF??-----A---? which is derivation of kopat#V????--??-??I?? or some of his children
Adding relation source: kopr#NNI??-----A---?, target máčet#V????--??-??I?? which is root of tree containing koprovka#NNF??-----A---? which is derivation of kopr#NNI??-----A---? or some of his children
Adding relation source: kopyto#NNN??-----A---?, target kopytnatý#AA???----??---? which was originaly root
Adding relation source: koroze#NNF??-----A---?, target korodovat#V????--??-??I?? which is root of tree containing zkorodovat#V????--??-??P?? which is derivation of koroze#NNF??-----A---? or some of his children
Adding relation source: kosmopolitický#AA???----??---?, target kosmopolita#NNM??-----A---? which was originaly root
Adding relation source: kotit#V???---??-??I??, target překot#NNI??-----A---? which was originaly root
Adding relation source: koudel#NNF??-----A---?, target koudelník#NNM??-----A---? which was originaly root
Adding relation source: koukat#V????--??-??I??, target kukátko#NNN??-----A---? which was originaly root
Adding relation source: kout#V????--??-??I??, target kov#NNI??-----A---? which is root of tree containing kovový#AA???----??---? which is derivation of kout#V????--??-??I?? or some of his children
Adding relation source: kout#V????--??-??I??, target okuj#NNF??-----A---? which is root of tree containing okuje#NNF??-----A---? which is derivation of kout#V????--??-??I?? or some of his children
Adding relation source: kout#V????--??-??I??, target kout#NNI??-----A---? which is root of tree containing kujný#AA???----??---? which is derivation of kout#V????--??-??I?? or some of his children
Adding relation source: kořen#NNI??-----A---?, target kořen#NNIS2-----A---1 which is root of tree containing kořenit#V????--??-??I?? which is derivation of kořen#NNI??-----A---? or some of his children
Adding relation source: kořen#NNI??-----A---?, target kořit#V????--??-??I?? which is root of tree containing kořenářský#AA???----??---? which is derivation of kořen#NNI??-----A---? or some of his children
Adding relation source: kořen#NNM??-----A---?, target kořen#NNI??-----A---? which is root of tree containing kořenit#V????--??-??I?? which is derivation of kořen#NNM??-----A---? or some of his children
Adding relation source: krenelovat#V????--??-??I??, target kreativní#AA???----??---? which was originaly root
Adding relation source: krev#NNF??-----A---?, target zakrvavit#V????--??-??P?? which was originaly root
Adding relation source: kriminál#NNI??-----A---?, target policie#NNF??-----A---? which is root of tree containing kriminálka#NNF??-----A---? which is derivation of kriminál#NNI??-----A---? or some of his children
Adding relation source: krize#NNF??-----A---?, target kritika#NNF??-----A---? which is root of tree containing kritický#AA???----??---? which is derivation of krize#NNF??-----A---? or some of his children
Adding relation source: krojit#V????--??-??P??, target krejčí#NNM??-----A---? which is root of tree containing krejčová#NNF??-----A---? which is derivation of krojit#V????--??-??P?? or some of his children
Adding relation source: kuchyň#NNF??-----A---?, target kuchyňka#NNF??-----A---? which was originaly root
Adding relation source: kuchyň#NNF??-----A---?, target kuchař#NNM??-----A---? which is root of tree containing kuchařský#AA???----??---? which is derivation of kuchyň#NNF??-----A---? or some of his children
Adding relation source: kuchyň#NNF??-----A---?, target kuchyňský#AA???----??---? which was originaly root
Adding relation source: kuchyň#NNF??-----A---?, target kuchtit#V????--??-??I?? which was originaly root
Adding relation source: kudla#NNF??-----A---?, target kudlat#V????--??-??I?? which was originaly root
Adding relation source: kult#NNI??-----A---?, target kulturistika#NNF??-----A---? which was originaly root
Adding relation source: kupa#NNF??-----A---?, target skupina#NNF??-----A---? which was originaly root
Adding relation source: kupa#NNF??-----A---?, target kopa#NNF??-----A---? which is root of tree containing kupka#NNF??-----A---? which is derivation of kupa#NNF??-----A---? or some of his children
Adding relation source: kurz#NNI??-----A---?, target kurzor#NNI??-----A---? which was originaly root
Adding relation source: kvestor#NNM??-----A---?, target kvestura#NNF??-----A---? which was originaly root
Adding relation source: kvičet#V????--??-??I??, target kvik#NNI??-----A---? which is root of tree containing vykviknout#V????--??-??P?? which is derivation of kvičet#V????--??-??I?? or some of his children
Adding relation source: kvádr#NNI??-----A---?, target kvadratura#NNF??-----A---? which was originaly root
Adding relation source: kyt#NNM??-----A---?, target kyt#NNI??-----A---? which is root of tree containing kytovat#V????--??-??I?? which is derivation of kyt#NNM??-----A---? or some of his children
Adding relation source: kádr#NNM??-----A---?, target kádr#NNI??-----A---? which is root of tree containing kádrový#AA???----??---? which is derivation of kádr#NNM??-----A---? or some of his children
Adding relation source: káro#NNN??-----A---?, target károvaný#AA???----??---? which was originaly root
Adding relation source: káva#NNF??-----A---?, target kávovina#NNF??-----A---? which was originaly root
Adding relation source: káva#NNF??-----A---?, target kafírna#NNF??-----A---? which was originaly root
Adding relation source: kýl#NNI??-----A---?, target kýla#NNF??-----A---? which is root of tree containing kýlový#AA???----??---? which is derivation of kýl#NNI??-----A---? or some of his children
Adding relation source: křen#NNI??-----A---?, target křen#NNM??-----A---? which is root of tree containing křenit#V????--??-??I?? which is derivation of křen#NNI??-----A---? or some of his children
Adding relation source: kšeft#NNI??-----A---?, target kšeftsman#NNM??-----A---? which was originaly root
Adding relation source: kůr#NNI??-----A---?, target kora#NNF??-----A---? which is root of tree containing kůrový#AA???----??---? which is derivation of kůr#NNI??-----A---? or some of his children
Adding relation source: ladit#V????--??-??I??, target sladit#V????--??-??I?? which is root of tree containing soulad#NNI??-----A---? which is derivation of ladit#V????--??-??I?? or some of his children
Adding relation source: lak#NNI??-----A---?, target lakýrna#NNF??-----A---? which is root of tree containing lakýrnictví#NNN??-----A---? which is derivation of lak#NNI??-----A---? or some of his children
Adding relation source: lano#NNN??-----A---?, target dráha#NNF??-----A---? which is root of tree containing lanovkový#AA???----??---? which is derivation of lano#NNN??-----A---? or some of his children
Adding relation source: lavice#NNF??-----A---?, target lávka#NNF??-----A---? which was originaly root
Adding relation source: ledví#NNN??-----A---?, target taška#NNF??-----A---? which is root of tree containing ledvinka#NNF??-----A---? which is derivation of ledví#NNN??-----A---? or some of his children
Adding relation source: lehký#AA???----??---?, target zalehnout#V????--??-??P?? which was originaly root
Adding relation source: lehký#AA???----??---?, target rozlehnout#V????--??-??P?? which is root of tree containing rozlehlý#AA???----??---? which is derivation of lehký#AA???----??---? or some of his children
Adding relation source: lehký#AA???----??---?, target slehnout#V????--??-??P?? which was originaly root
Adding relation source: lehký#AA???----??---?, target přilehnout#V????--??-??P?? which was originaly root
Adding relation source: letět#V????--??-??I??, target letmý#AA???----??---? which was originaly root
Adding relation source: lež#NNF??-----A----, target prolhat#V????--??-??P?? which is root of tree containing prolhaný#AA???----??---? which is derivation of lež#NNF??-----A---- or some of his children
Adding relation source: lichý#AA???----??---?, target lichoběžný#AA???----??---? which is root of tree containing lichoběžník#NNI??-----A---? which is derivation of lichý#AA???----??---? or some of his children
Adding relation source: lichý#AA???----??---?, target lichokopytník#NNM??-----A---? which was originaly root
Adding relation source: lid#NNIS?-----A----, target lidé#NNMP?-----A---? which was originaly root
Adding relation source: lid#NNIS?-----A----, target lidičky#NNMP?-----A---? which was originaly root
Adding relation source: lid#NNIS?-----A----, target lidnit#Vf--------A---- which is root of tree containing zalidnit#V????--??-??P?? which is derivation of lid#NNIS?-----A---- or some of his children
Adding relation source: lid#NNIS?-----A----, target lidštit#Vf--------A---- which is root of tree containing odlidštit#V????--??-??P?? which is derivation of lid#NNIS?-----A---- or some of his children
Adding relation source: liga#NNF??-----A---?, target ligista#NNM??-----A---? which was originaly root
Adding relation source: limit#NNI??-----A---?, target limita#NNF??-----A---? which was originaly root
Adding relation source: lotr#NNM??-----A---?, target zlotřit#V????--??-??P?? which is root of tree containing zlotřilec#NNM??-----A---? which is derivation of lotr#NNM??-----A---? or some of his children
Adding relation source: louh#NNI??-----A---?, target louhovitý#AA???----??---? which was originaly root
Adding relation source: louka#NNF??-----A---?, target lučinatý#AA???----??---? which was originaly root
Adding relation source: loupat#V????--??-??I??, target loupit#V????--??-??I?? which is root of tree containing výlupek#NNM??-----A---? which is derivation of loupat#V????--??-??I?? or some of his children
Adding relation source: luk#NNI??-----A---?, target lukostřelba#NNF??-----A---? which is root of tree containing lukostřelec#NNM??-----A---? which is derivation of luk#NNI??-----A---? or some of his children
Adding relation source: lupat#V????--??-??I??, target slupnout#V????--??-??P?? which was originaly root
Adding relation source: léto#NNN??-----A---?, target léta#NNNP?-----A---? which is root of tree containing zletilý#AA???----??---? which is derivation of léto#NNN??-----A---? or some of his children
Adding relation source: léto#NNN??-----A---?, target letět#V????--??-??I?? which is root of tree containing letovisko#NNN??-----A---? which is derivation of léto#NNN??-----A---? or some of his children
Adding relation source: léto#NNN??-----A---?, target letopis#NNI??-----A---? which was originaly root
Adding relation source: léto#NNN??-----A---?, target růst#V???---??-??I?? which is root of tree containing letorost#NNI??-----A---? which is derivation of léto#NNN??-----A---? or some of his children
Adding relation source: líbat#V????--??-??I??, target libý#AA???----??---? which is root of tree containing políbit#V????--??-??P?? which is derivation of líbat#V????--??-??I?? or some of his children
Adding relation source: líc#NNI??-----A---?, target líc#NNF??-----A---? which is root of tree containing lícovat#V????--??-??I?? which is derivation of líc#NNI??-----A---? or some of his children
Adding relation source: líhnout#V????--??-??I??, target lehký#AA???----??---? which is root of tree containing vylíhnout#V????--??-??P?? which is derivation of líhnout#V????--??-??I?? or some of his children
Adding relation source: líný#AA???----??---?, target lenit#V????--??-??I?? which is root of tree containing lenivý#AA???----??---? which is derivation of líný#AA???----??---? or some of his children
Adding relation source: lít#V????--??-??I??, target slíva#NNF??-----A---? which is root of tree containing slivky#NNFP?-----A---? which is derivation of lít#V????--??-??I?? or some of his children
Adding relation source: líto#Db-------------, target lít#V????--??-??I?? which is root of tree containing lítost#NNF??-----?---? which is derivation of líto#Db------------- or some of his children
Adding relation source: malina#NNF??-----A---?, target limonáda#NNF??-----A---? which is root of tree containing malinovka#NNF??-----A---? which is derivation of malina#NNF??-----A---? or some of his children
Adding relation source: malomocný#AA???----??---?, target malomoc#NNF??-----A---? which is root of tree containing malomocenství#NNN??-----A---? which is derivation of malomocný#AA???----??---? or some of his children
Adding relation source: man#NNM??-----A---?, target manit#NNI??-----A---? which is root of tree containing vymanit#V????--??-??P?? which is derivation of man#NNM??-----A---? or some of his children
Adding relation source: maso#NNN??-----A---?, target masa#NNF??-----A---? which is root of tree containing masový#AA???----??---? which is derivation of maso#NNN??-----A---? or some of his children
Adding relation source: matka#NNF??-----A---?, target mateř#NNF??-----A---? which is root of tree containing mateřština#NNF??-----A---? which is derivation of matka#NNF??-----A---? or some of his children
Adding relation source: matka#NNF??-----A---?, target máti#NNF??-----A---? which was originaly root
Adding relation source: maximum#NNN??-----A---?, target maximalistický#AA???----??---? which is root of tree containing maximalismus#NNI??-----A---? which is derivation of maximum#NNN??-----A---? or some of his children
Adding relation source: mačkat#V????--??-??I??, target přimáčknout#V????--??-??P?? which was originaly root
Adding relation source: mdlý#AA???----??---?, target mdlít#V????--??-??I?? which is root of tree containing omdlít#V????--??-??P?? which is derivation of mdlý#AA???----??---? or some of his children
Adding relation source: med#NNI??-----A---?, target medovinový#AA???----??---? which was originaly root
Adding relation source: medaile#NNF??-----A---?, target medailon#NNI??-----A---? which was originaly root
Adding relation source: melodram#NNI??-----A---?, target melodrama#NNN??-----A---? which is root of tree containing melodramatický#AA???----??---? which is derivation of melodram#NNI??-----A---? or some of his children
Adding relation source: meritum#NNN??-----A---?, target meritorní#AA???----??---? which was originaly root
Adding relation source: metan#NNI??-----A---?, target methylen#NNI??-----A---? which is root of tree containing metylén#NNI??-----A---? which is derivation of metan#NNI??-----A---? or some of his children
Adding relation source: metr#NNI??-----A---?, target metrum#NNN??-----A---? which is root of tree containing metrický#AA???----??---? which is derivation of metr#NNI??-----A---? or some of his children
Adding relation source: mez#NNF??-----A---?, target zamezit#V????--??-??P?? which was originaly root
Adding relation source: mez#NNF??-----A---?, target vymezit#V????--??-??P?? which was originaly root
Adding relation source: mezek#NNM??-----A---?, target mezkovitý#AA???----??---? which was originaly root
Adding relation source: meč#NNI??-----A---?, target mečoun#NNM??-----A---? which was originaly root
Adding relation source: mikrob#NNI??-----A---?, target mikrobiální#AA???----??---? which was originaly root
Adding relation source: mikrob#NNM??-----A---?, target mikrob#NNI??-----A---? which is root of tree containing mikrobiální#AA???----??---? which is derivation of mikrob#NNM??-----A---? or some of his children
Adding relation source: milý#AA???----??---?, target milostpán#NNM??-----A---? which was originaly root
Adding relation source: mina#NNF??-----A---?, target minomet#NNI??-----A---? which was originaly root
Adding relation source: minerál#NNI??-----A---?, target déšť#NNI??-----A---? which is root of tree containing minerálka#NNF??-----A---? which is derivation of minerál#NNI??-----A---? or some of his children
Adding relation source: mizera#NNF??-----A---?, target mizerie#NNF??-----A---? which is root of tree containing mizérie#NNF??-----A---? which is derivation of mizera#NNF??-----A---? or some of his children
Adding relation source: mizera#NNM??-----A---?, target mizera#NNF??-----A---? which is root of tree containing mizérie#NNF??-----A---? which is derivation of mizera#NNM??-----A---? or some of his children
Adding relation source: mlít#V????--??-??I??, target mlecí#AA???----1?---? which was originaly root
Adding relation source: moc#Db-------------, target moci#V???---??-??I?? which is root of tree containing mocný#A????----??---? which is derivation of moc#Db------------- or some of his children
Adding relation source: model#NNM??-----A---?, target model#NNI??-----A---? which is root of tree containing modelka#NNF??-----A---? which is derivation of model#NNM??-----A---? or some of his children
Adding relation source: mok#NNI??-----A---?, target zmokat#V????--??-??I?? which is root of tree containing zmoknout#V????--??-??P?? which is derivation of mok#NNI??-----A---? or some of his children
Adding relation source: moment#NNI??-----A---?, target fotografie#NNF??-----A---? which is root of tree containing momentka#NNF??-----A---? which is derivation of moment#NNI??-----A---? or some of his children
Adding relation source: morf#NNI??-----A---?, target morfematika#NNF??-----A---? which is root of tree containing morfematický#AA???----??---? which is derivation of morf#NNI??-----A---? or some of his children
Adding relation source: morální#AA???----??---?, target moralizmus#NNI??-----A---? which is root of tree containing moralista#NNM??-----A---? which is derivation of morální#AA???----??---? or some of his children
Adding relation source: motat#V????--??-??I??, target zámot#NNI??-----A---? which is root of tree containing zámotek#NNI??-----A---? which is derivation of motat#V????--??-??I?? or some of his children
Adding relation source: moč#NNF??-----A---?, target kopr#NNI??-----A---? which is root of tree containing zmáčet#V????--??-??P?? which is derivation of moč#NNF??-----A---? or some of his children
Adding relation source: moře#NNN??-----A---?, target podmoří#NNN??-----A---? which is root of tree containing podmořský#AA???----??---? which is derivation of moře#NNN??-----A---? or some of his children
Adding relation source: moře#NNN??-----A---?, target přímoří#NNN??-----A---? which is root of tree containing přímořský#AA???----??---? which is derivation of moře#NNN??-----A---? or some of his children
Adding relation source: moře#NNN??-----A---?, target nadmořský#AA???----??---? which was originaly root
Adding relation source: mrtvý#NNM??-----A---?, target mrtvý#A????----??---? which is root of tree containing mrtvice#NNF??-----A---? which is derivation of mrtvý#NNM??-----A---? or some of his children
Adding relation source: mrzet#V????--??-??I??, target mrzký#AA???----??---? which was originaly root
Adding relation source: mršit#V????--??-??I??, target bylina#NNF??-----A---? which is root of tree containing mrchožrout#NNM??-----A---? which is derivation of mršit#V????--??-??I?? or some of his children
Adding relation source: mysl#NNF??-----A---?, target myslit#V????--??-??I?? which is root of tree containing důmyslný#AA???----??---? which is derivation of mysl#NNF??-----A---? or some of his children
Adding relation source: mysl#NNF??-----A---?, target smyslet#V?????????????? which is root of tree containing smýšlet#V????--??-??I?? which is derivation of mysl#NNF??-----A---? or some of his children
Adding relation source: mysl#NNF??-----A---?, target přemýšlet#V????--??-??I?? which was originaly root
Adding relation source: mysl#NNF??-----A---?, target vymyslet#V?????????????? which is root of tree containing výmysl#NNI??-----A---? which is derivation of mysl#NNF??-----A---? or some of his children
Adding relation source: mysl#NNF??-----A---?, target pomyslet#V?????????????? which was originaly root
Adding relation source: mysl#NNF??-----A---?, target promyslet#V?????????????? which was originaly root
Adding relation source: mysl#NNF??-----A---?, target odmyslet#V?????????????? which was originaly root
Adding relation source: máj#NNF??-----A---?, target máj#NNI??-----A---? which is root of tree containing májka#NNF??-----A---? which is derivation of máj#NNF??-----A---? or some of his children
Adding relation source: mír#NNI??-----A---?, target měřit#V????--??-??I?? which is root of tree containing zmírnit#V????--??-??P?? which is derivation of mír#NNI??-----A---? or some of his children
Adding relation source: mířit#V????--??-??I??, target mír#NNI??-----A---? which is root of tree containing záměr#NNI??-----A---? which is derivation of mířit#V????--??-??I?? or some of his children
Adding relation source: mířit#V????--??-??I??, target cedule#NNF??-----A---? which is root of tree containing směrovka#NNF??-----A---? which is derivation of mířit#V????--??-??I?? or some of his children
Adding relation source: múza#NNF??-----A---?, target muzika#NNF??-----A---? which is root of tree containing múzický#AA???----??---? which is derivation of múza#NNF??-----A---? or some of his children
Adding relation source: nafta#NNF??-----A---?, target naftalen#NNI??-----A---? which is root of tree containing naftalín#NNI??-----A---? which is derivation of nafta#NNF??-----A---? or some of his children
Adding relation source: negovat#V????--??-??I??, target negativní#AA???----??---? which was originaly root
Adding relation source: neolit#NNI??-----A---?, target neolitický#AA???----??---? which was originaly root
Adding relation source: nic#Db-------------, target nanicovatý#AA???----??---? which was originaly root
Adding relation source: nic#Db-------------, target nanic#Db------------- which was originaly root
Adding relation source: nic#Db-------------, target nicota#NNF??-----A---? which is root of tree containing nicotný#A????----??---? which is derivation of nic#Db------------- or some of his children
Adding relation source: nitro#NNN??-----A---?, target nitrolebeční#AA???----1?---? which was originaly root
Adding relation source: nitro#NNN??-----A---?, target nitrožilní#AA???----1?---? which was originaly root
Adding relation source: nivelizovat#V????--??-??B??, target nivelovat#V????--??-??I?? which is root of tree containing nivelizační#AA???----??---? which is derivation of nivelizovat#V????--??-??B?? or some of his children
Adding relation source: noc#NNF??-----A---?, target líhnout#V????--??-??I?? which is root of tree containing noclehárna#NNF??-----A---? which is derivation of noc#NNF??-----A---? or some of his children
Adding relation source: nuda#NNF??-----A---?, target znuzit#V????--??-??P?? which is root of tree containing znuděný#AA???----??---? which is derivation of nuda#NNF??-----A---? or some of his children
Adding relation source: numero#NNN??-----A---?, target numerika#NNF??-----A---? which is root of tree containing numerický#AA???----??---? which is derivation of numero#NNN??-----A---? or some of his children
Adding relation source: obec#NNF??-----A---?, target kázat#V????--??-??I?? which is root of tree containing občanka#NNF??-----A---? which is derivation of obec#NNF??-----A---? or some of his children
Adding relation source: obraz#NNI??-----A---?, target razit#V????--??-??I?? which is root of tree containing obrazný#AA???----??---? which is derivation of obraz#NNI??-----A---? or some of his children
