#what to do: YES=connect parent to grandparent; „lemma“=connect to this lemma instead of to the grandparent
#annotation 	grandparent	parent	derivation
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	silvestr#NNI??-----A---?	Silvestrov#NNM??-----A---?	silvestrovský#AA???----??---?
YES	skvít#Vf--------A----	skvět#V???---??-??I??	skvost#NNI??-----A---?
YES	skřípat#V????--??-??I??	skřípět#V????--??-??I??	skřípění#NNN??-----?---?
	sladký#AA???----??---?	ladit#V????--??-??I??	přisladit#V????--??-??P??
	poslední#AA???----??---?	naposled#Db-------------	naposledy#Db-------------
	sluha#NNM??-----A----	sloužit#V????--??-??I??	služné#NNN??-----A---?
	slovo#NNN??-----A---?	lovit#V????--??-??I??	úsloví#NNN??-----A---?
NO	sláma#NNF??-----A---?	klobouk#NNI??-----A---?	slamák#NNI??-----A---?
	smrdět#V????--??-??I??	smradit#V????--??-??I??	nasmradit#V????--??-??P??
YES	smutný#A????----??---?	smutnět#V??????????????	posmutnět#V????--??-??P??
YES	smích#NNI??-----A---?	smát#V???---??-??I??	posměšný#AA???----??---?
YES	soprán#NNI??-----A---?	sopranista#NNM??-----A---?	sopranistka#NNF??-----A---?
	soužit#V????--??-??I??	úzký#AA???----??---?	sužovat#V????--??-??I??
	spravedlivý#A????----??---?	spravedlný#AA???----??---?	spravedlnost#NNF??-----?---?
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	sprej#NNI??-----A---?	spray#NNI??-----A----	sprejový#AA???----??---?
	správa#NNF??-----A---?	pravý#AA???----??---?	spravovat#V????--??-??I??
	spět#V????--??-??I??	prospěch#NNI??-----A---?	prospět#V????--??-??P??
	starý#NNM??-----A---?	starat#V????--??-??I??	zastarat#V????--??-??P??
NO	stihnout#V????--??-??P??	letoun#NNM??-----A---?	stíhačka#NNF??-----A---?
	stlát#V????--??-??I??	postlat#V????--??-??P??	postel#NNF??-----A---?
YES	stoupat#V????--??-??I??	přestoupit#V????--??-??P??	přestupní#AA???----1?---?
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	stoupat#V????--??-??I??	stoupit#V????--??-??P??	prostoupit#V????--??-??P??
YES	stoupat#V????--??-??I??	sestoupit#V????--??-??P??	sestupový#AA???----??---?
YES	stoupat#V????--??-??I??	zastoupit#V????--??-??P??	zástupný#AA???----??---?
YES	stoupat#V????--??-??I??	přistoupit#V????--??-??P??	přístupný#A????----??---?
YES	stoupat#V????--??-??I??	vstoupit#V????--??-??P??	vstup#NNI??-----A---?
YES	stoupat#V????--??-??I??	postoupit#V????--??-??P??	postupový#AA???----??---?
YES	stoupat#V????--??-??I??	ustoupit#V????--??-??P??	ústupový#AA???----??---?
	ostouzet#V????--??-??I??	stydět#V????--??-??I??	ostudný#AA???----??---?
	stydnout#V????--??-??I??	zastydat#V????--??-??I??	zastydlý#AA???----??---?
	stydnout#V????--??-??I??	vystydat#V????--??-??I??	vystydnout#V????--??-??P??
	stan#NNI??-----A---?	stanovit#V????--??-??P??	ustanovit#V????--??-??P??
	stěna#NNF??-----A---?	stín#NNI??-----A---?	zástěna#NNF??-----A---?
	stěžovat#V????--??-??I??	stihat#V????--??-??I??	stížnost#NNF??-----?---?
	střežit#V????--??-??I??	postřehnout#V????--??-??P??	postřeh#NNI??-----A---?
NO	stříkat#V????--??-??I??	pistol#NNF??-----A---?	stříkačka#NNF??-----A---?
	subskribovat#V????--??-??I??	subskripce#NNF??-----A---?	subskripční#AA???----1?---?
	sunout#V????--??-??I??	sesout#V????--??-??P??	sesuv#NNI??-----A---?
	sunout#V????--??-??I??	vsout#V????--??-??P??	vsunout#V????--??-??P??
	sunout#V????--??-??I??	vysout#V????--??-??P??	vysunout#V????--??-??P??
	svatý#NNM??-----A---?	vát#V????--??-??I??	svátost#NNF??-----?---?
	svorný#A????----??---?	svora#NNF??-----A---?	svorka#NNF??-----A---?
	synkopa#NNF??-----A---?	synkopovat#V????--??-??I??	synkopovaný#AA???----??---?
	síť#NNF??-----A---?	ledví#NNN??-----A---?	síťovka#NNF??-----A---?
	tabule#NNF??-----A---?	tabula#NNF??-----A---?	tabulový#AA???----??---?
	táhnout#V????--??-??I??	vztáhat#V????--??-??I??	vztáhnout#V????--??-??P??
YES	terapie#NNF??-----A---?	terapeutika#NNF??-----A---?	terapeutický#AA???----??---?
	teskný#AA???----??---?	stýsknout#Vf--------A----	postesknout#V????--??-??P??
	tetanus#NNI??-----A---?	tetan#NNI??-----A---?	tetanový#AA???----??---?
NO	textil#NNI??-----A---?	tovar#NNI??-----A---?	textilka#NNF??-----A---?
	tichý#A????----??---?	ztichat#V????--??-??I??	ztichnout#V????--??-??P??
	tleskat#V????--??-??I??	tlesk#NNI??-----A---?	potlesk#NNI??-----A---?
	topořit#V????--??-??I??	topor#NNI??-----A---?	toporný#AA???----??---?
YES	toxikomanie#NNF??-----A---?	toxikoman#NNM??-----A---?	toxikomanka#NNF??-----A---?
NO	trať#NNF??-----A---?	thrash#NNI??-----A---?	traťový#AA???----??---?
	trekking#NNI??-----A---?	trek#NNI??-----A---?	trekový#AA???----??---?
	trik#NNI??-----A---?	triko#NNN??-----A---?	trikový#AA???----??---?
NO	tryska#NNF??-----A---?	stěžovat#V????--??-??I??	tryskáč#NNI??-----A---?
NO	tráva#NNF??-----A---?	trávit#V????--??-??I??	travička#NNF??-----A---?
YES	trénovat#V????--??-??I??	trenér#NNM??-----A---?	trenérství#NNN??-----A---?
YES	tuhý#A????----??---?	ztuhat#V????--??-??I??	ztuhnout#V????--??-??P??
tyčka	tyč#NNF??-----A---?	tyčinka#NNF??-----A---?	tyčinkovitý#AA???----??---?
NO	tábor#NNI??-----A---?	oheň#NNI??-----A---?	táborák#NNI??-----A---?
YES	túra#NNF??-----A---?	turista#NNM??-----A---?	turistka#NNF??-----A---?
YES	těšit#V????--??-??I??	utěšit#V????--??-??P??	utěšený#AA???----??---?
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	těžit#V????--??-??I??	tíha#NNF??-----A---?	těžnice#NNF??-----A---?
	čest#NNF??-----?----	poctít#V????--??-??P??	pocta#NNF??-----A---?
	udice#NNF??-----A---?	uzda#NNF??-----A---?	udidlo#NNN??-----A---?
	urbanismus#NNI??-----A---?	urbanistika#NNF??-----A---?	urbanistický#AA???----??---?
	utilitarismus#NNI??-----A---?	utilita#NNF??-----A---?	utilitární#AA???----??---?
	vadnout#V????--??-??I??	zvadat#V????--??-??I??	zvadlý#AA???----??---?
	varianta#NNF??-----A---?	variance#NNF??-----A---?	variantní#AA???----??---?
YES	velký#AA???----??---?	velikáš#NNM??-----A---?	velikášský#AA???----??---?
	venerický#AA???----??---?	venerologie#NNF??-----A---?	venerologický#AA???----??---?
	vina#NNF??-----A---?	povinný#A????----??---?	povinnost#NNF??-----?---?
NO	viset#V???---??-??I??	etiketa#NNF??-----A---?	visačka#NNF??-----A---?
	věsit#V????--??-??I??	odvaha#NNF??-----A---?	vážit#V????--??-??I??
	vízum#NNN??-----A---?	viset#V???---??-??I??	vízový#AA???----??---?
	vlhký#AA???----??---?	velhat#V????--??-??P??	zvlhnout#V????--??-??P??
NO	volit#V????--??-??I??	sůl#NNF??-----A---?	svolný#A????----??---?
NO	vrah#NNM??-----A---?	vraždit#V????--??-??I??	vražednice#NNF??-----A---?
	vrhnout#V????--??-??P??	zavrhat#V????--??-??I??	zavrhnout#V????--??-??P??
	vrhnout#V????--??-??P??	převržený#AA???----??---?	přívrženec#NNM??-----A---?
	vrhnout#V????--??-??P??	vrhač#NNM??-----A---?	vrhačka#NNF??-----A---?
YES	vráska#NNF??-----A---?	vraštit#V????--??-??I??	svraštit#V????--??-??P??
	vysoký#AA???----??---?	Vysoký#NNM??-----A---?	vysočina#NNF??-----A---?
	vzduch#NNI??-----A---?	vzdušit#V????--??-??P??	zavzdušnit#V????--??-??P??
YES	vztek#NNI??-----A---?	vzteklit#V????--??-??P??	rozvzteklit#V????--??-??P??
YES	vášeň#NNF??-----A---?	vášnit#V????--??-??I??	vášnivec#NNM??-----A---?
	vévoda#NNM??-----A---?	vojevodit#V????--??-??I??	vévodit#V????--??-??I??
	víno#NNN??-----A---?	vina#NNF??-----A---?	vinice#NNF??-----A---?
	vít#V????--??-??I??	rozvoj#NNI??-----A---?	rozvojový#AA???----??---?
	vít#V????--??-??I??	zavinout#V????--??-??P??	zavíjet#V????--??-??I??
	vítr#NNI??-----A---?	řídit#V????--??-??I??	větrák#NNI??-----A---?
	watt#NNI??-----A---?	Watt#NNM??-----A---?	wattový#AA???----??---?
	zakrslý#AA???----??---?	zákrs#NNM??-----A---?	zákrsek#NNI??-----A---?
	zbroj#NNF??-----A---?	brojit#V????--??-??I??	zbrojovka#NNF??-----A---?
	zelený#AA???----??---?	zelí#NNN??-----A---?	zelinářský#AA???----??---?
	znamení#NNN??-----A---?	znamenat#V????--??-??I??	poznamenat#V????--??-??P??
NO	zrcadlo#NNN??-----A---?	fotoaparát#NNI??-----A---?	zrcadlovka#NNF??-----A---?
NO	zub#NNI??-----A---?	lék#NNI??-----A---?	zubařka#NNF??-----A---?
NO	zvuk#NNI??-----A---?	technika#NNF??-----A---?	zvukař#NNM??-----A---?
	zvěř#NNF??-----A---?	zvěr#NNI??-----A---?	zvěrstvo#NNN??-----A---?
	účet#NNI??-----A---?	číst#V????--??-??I??	zúčtovat#V????--??-??P??
	čelo#NNN??-----A---?	náčelní#AA???----1?---?	náčelník#NNM??-----A---?
	čmelák#NNM??-----A---?	čmel#NNM??-----A---?	čmelík#NNM??-----A---?
YES	čundr#NNI??-----A---?	čundrat#V????--??-??I??	čundrovat#V????--??-??I??
NO	řezat#V????--??-??I??	jednota#NNF??-----A---?	řezačka#NNF??-----A---?
YES	říci#V????--??-??P??	řečit#V????--??-??I??	řečený#AA???----??---?
	šat#NNI??-----A---?	šátek#NNI??-----A---?	šáteček#NNI??-----A---?
šedat	šedý#AA???----??---?	zašedat#V????--??-??I??	zašedlý#AA???----??---?
	šik#AAXXX----1A----	šiknout#V????--??-??P??	sešikovat#V????--??-??P??
YES	šklebit#V????--??-??I??	úškleb#NNI??-----A---?	úšklebek#NNI??-----A---?
	škoda#NNF??-----A---?	záškodný#AA???----??---?	záškodník#NNM??-----A---?
	šmak#NNI??-----A---?	šmáknout#V????--??-??P??	pošmáknout#V????--??-??P??
NO	šmudla#NNM??-----A---?	šmudlat#V????--??-??I??	ušmudlat#V????--??-??P??
NO	špice#NNF??-----A---?	zub#NNI??-----A---?	špičák#NNI??-----A---?
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	štáb#NNI??-----A---?	štába#NNM??-----A---?	štábní#AA???----1?---?
NO	šum#NNI??-----A---?	prach#NNI??-----A---?	šumák#NNI??-----A---?
YES	švitořit#V????--??-??I??	švitora#NNM??-----A---?	švitorka#NNF??-----A---?
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	švec#NNM??-----A---?	Ševcov#NNM??-----A---?	ševcovský#AA???----??---?
NO	žebřík#NNI??-----A---?	vézt#V????--??-??I??	žebřiňák#NNI??-----A---?
YES	živý#A????----??---?	živit#V????--??-??I??	živitelka#NNF??-----A---?
