absolventi 	 ab-solv-ent-i 	 ab-solvent-i
strahově 	 strahov-ě 	 strah-ov-ě
strašnicích 	 strašnic-í-ch 	 straš-nic-ích
strnutí 	 s-trn-u-t-í 	 s-tr-nu-t-í
studiích 	 stud-i-í-ch 	 stud-i-ích
stínit 	 stín-i-t 	 s-tín-i-t
stěžovatel 	 stěž-ova-tel 	 s-těž-ova-tel
střechách 	 střech-á-ch 	 střech-ách
stříbrolesklého 	 stříbr-o-lesk-l-é-ho 	 stříbr-o-lesk-l-ého
supernova 	 super-nova 	 super-n-ov-a
supraphon 	 supra-phon 	 supraphon
svraštil 	 s-vrašt-i-l 	 s-vraš-t-i-l
svrtět 	 s-vrt-ě-t 	 svrt-ě-t
svát 	 s-vá-t 	 svá-t
svědomím 	 s-věd-om-í-m 	 s-věd-om-ím
světelné 	 svět-el-n-é 	 svět-eln-é
světelných 	 svět-el-n-ých 	 svět-eln-ých
systémem 	 systém-e-m 	 systém-em
takzvaném 	 tak-zv-a-n-é-m 	 tak-zv-a-n-ém
také 	 také 	 tak-é
tati 	 tat-i 	 tati
telat 	 tel-at 	 tel-a-t
telefonního 	 tele-fon-n-í-ho 	 tele-fon-n-ího
televize 	 televize 	 telev-iz-e
tendenci 	 tend-enc-i 	 tendenc-i
tenounkým 	 ten-oun-k-ý-m 	 ten-ounk-ým
terminologii 	 termino-log-i-i 	 termin-o-log-i-i
tesklivých 	 tesk-l-iv-ý-ch 	 tesk-l-iv-ých
tetička 	 tet-ič-k-a 	 tet-ičk-a
textil 	 textil 	 text-i-l
thajska 	 thaj-sk-a 	 thajsk-a
theodicée 	 theodicée 	 theodi-cée
tikem 	 tik-e-m 	 tik-em
tkalcovnictví 	 tka-lc-ovnic-tv-í 	 tk-a-l-c-ov-nic-tv-í
tlapkách 	 tlap-k-á-ch 	 tlap-k-ách
totožný 	 totožn-ý 	 totož-n-ý
tržním 	 trž-n-ím 	 trž-n-í-m
turbovrtulových 	 turbo-vrt-ul-ov-ých 	 turb-ovrtul-ov-ých
turistiky 	 tur-ist-ik-y 	 turist-ik-y
turné 	 turné 	 tur-n-é
tvrzeními 	 tvrz-en-í-m-i 	 tvrz-en-ími
tzv 	 t-z-v 	 tzv
téhož 	 t-é-ho-ž 	 t-ého-ž
tématu 	 tém-at-u 	 témat-u
tímto 	 t-í-m-t-o 	 t-ím-t-o
tít 	 t-í-t 	 tí-t
těhotenství 	 těhoten-ství 	 těhoten-stv-í
těmi 	 t-ě-m-i 	 t-ěmi
třemi 	 tř-e-m-i 	 tř-emi
třetím 	 tř-e-t-í-m 	 tř-et-í-m
třineckých 	 třinec-k-ých 	 tř-inec-k-ých
ukazuju 	 u-kaz-u-j-u 	 u-kaz-uj-u
ukrutným 	 u-krut-n-ý-m 	 u-krut-n-ým
ulici 	 ul-ic-i 	 ulic-i
uloženými 	 u-lož-en-ý-m-i 	 u-lož-en-ými
umožnilo 	 u-možn-i-l-o 	 u-mož-n-i-l-o
umožnily 	 u-možn-i-l-y 	 u-mož-n-i-l-y
uměle 	 u-m-ě-l-e 	 um-ě-l-e
umělostech 	 u-m-ě-l-ost-e-ch 	 um-ě-l-ost-ech
uplynulo 	 u-ply-nu-l-o 	 u-p-l-y-nu-l-o
urgenci 	 urg-enc-i 	 urg-en-c-i
urgencích 	 urgenc-ích 	 urg-en-c-ích
určitě 	 urč-it-ě 	 u-rč-it-ě
usd 	 u-s-d 	 u-sd
uskutečnily 	 u-s-kut-eč-n-i-l-y 	 u-skuteč-n-i-l-y
ustanoveními 	 u-stanov-en-ími 	 u-stan-ov-en-ími
ustrnule 	 u-s-trn-u-l-e 	 u-s-t-r-nu-l-e
usvědčit 	 u-svědč-i-t 	 u-svěd-č-i-t
uzpůsobit 	 u-z-působ-i-t 	 u-z-pů-sob-i-t
uživit 	 u-živ-i-t 	 u-ži-v-i-t
vanka 	 van-k-a 	 vank-a
velkého 	 vel-k-é-ho 	 vel-k-ého
ventures 	 venture-s 	 ventures
vesnici 	 ves-nic-i 	 ves-n-ic-i
vezmeš 	 vez-m-e-š 	 vez-me-š
vezmou 	 vez-m-ou 	 vez-mou
veřejně 	 veř-ej-n-ě 	 veřej-n-ě
veškerým 	 veš-k-er-ý-m 	 veš-k-er-ým
vinohradského 	 vinohrad-sk-é-ho 	 vinohrad-sk-ého
virile 	 virile 	 viril-e
vlastního 	 vlast-n-í-ho 	 vlast-n-ího
vnitřnostech 	 v-nitř-n-ost-e-ch 	 v-nitř-n-ost-ech
vodolově 	 vodolov-ě 	 vodol-ov-ě
vrtulníky 	 vrt-ul-ník-y 	 vrtul-ník-y
vstupenek 	 vs-tup-en-ek 	 v-stup-en-ek
vstupenka 	 v-stup-enk-a 	 v-stup-en-k-a
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
vstupenky 	 vstup-enk-y 	 v-stup-en-k-y
vynaložením 	 vy-na-lož-en-í-m 	 vy-na-lož-en-ím
vyplaněný 	 vy-plan-ě-n-ý 	 vy-plan-ěn-ý
vypočísti 	 vy-po-číst-i 	 vy-po-čís-ti
vysokoškolské 	 vys-ok-o-škol-sk-é 	 vys-oko-škol-sk-é
vysokoškolský 	 vys-ok-o-škol-sk-ý 	 vys-oko-škol-sk-ý
vyspinkat 	 vy-sp-ink-a-t 	 vy-spink-a-t
vyspělým 	 vy-spě-l-ým 	 vy-sp-ě-l-ým
vysílací 	 vy-síl-a-c-í 	 vy-síl-ac-í
vytvořeno 	 vy-tvoř-en-o 	 vy-tvoř-e-n-o
vytít 	 vy-t-í-t 	 vy-tí-t
vyčísti 	 vy-číst-i 	 vy-čís-ti
vyřinout 	 vy-řin-ou-t 	 vy-ři-nou-t
vyžle 	 vyžle 	 vy-žle
vzdělání 	 vz-děl-án-í 	 vz-děl-á-n-í
vzít 	 vz-í-t 	 v-zí-t
válka 	 válk-a 	 vál-k-a
vás 	 v-á-s 	 v-ás
vítkovice 	 vít-k-ov-ic-e 	 vítk-ovic-e
vítězství 	 vítěz-ství 	 vítěz-stv-í
výhodnější 	 vý-hod-n-ějš-í 	 vý-hod-n-ěj-š-í
výsostným 	 výs-ost-n-ý-m 	 výs-ost-n-ým
výčitek 	 vý-čit-e-k 	 vý-čit-ek
vševědova 	 vševěd-ov-a 	 vše-věd-ov-a
vůnička 	 vůn-ič-k-a 	 vůn-ičk-a
westermannem 	 westermann-e-m 	 westermann-em
whitney 	 whitney 	 whitne-y
yse 	 y-s-e 	 ys-e
zafilosofovat 	 za-filo-sof-ova-t 	 za-fil-o-sof-ova-t
zahozených 	 za-hoz-en-ý-ch 	 za-hoz-en-ých
zahynul 	 za-hyn-u-l 	 za-h-y-nu-l
zakopán 	 za-kop-á-n 	 za-kop-án
zakusitelno 	 za-kus-i-tel-n-o 	 za-kus-i-teln-o
zamkl 	 za-mk-l 	 za-mkl
zapomínat 	 za-pomín-a-t 	 za-po-mín-a-t
započísti 	 za-po-číst-i 	 za-po-čís-ti
zareagovat 	 za-re-ag-ova-t 	 za-reag-ova-t
zasahují 	 za-sah-u-j-í 	 za-sah-uj-í
zaslíbeni 	 za-s-líb-en-i 	 za-slíb-en-i
zatrubňovávatelnost 	 za-trub-ň-ová-v-a-teln-ost 	 za-trub-ň-ová-v-a-telnost
zatvrzují 	 za-tvrz-u-j-í 	 za-tvrz-uj-í
zaujatý 	 z-au-j-a-t-ý 	 za-u-j-a-t-ý
zaujmouti 	 zau-jm-ou-ti 	 za-u-j-mou-ti
zdeničky 	 zden-ič-k-y 	 zden-ičk-y
zdeněk 	 zdeněk 	 zden-ěk
zemím 	 zem-ím 	 zem-í-m
zfalšování 	 z-falš-ová-n-í 	 z-fal-š-ová-n-í
zheroizovavší 	 z-hero-izova-vš-í 	 z-hero-iz-ova-vš-í
zločinem 	 zl-o-čin-e-m 	 zl-o-čin-em
změněném 	 z-měn-ěn-é-m 	 z-měn-ěn-ém
zprostředkovatelské 	 z-pro-střed-k-ova-tel-sk-é 	 z-pro-st-řed-k-ova-telské
zprůmyslnělost 	 z-prů-mysl-n-ě-l-ost 	 z-pr-ů-mysl-n-ě-l-ost
zpět 	 zpět 	 zp-ě-t
zpěvačka 	 z-pě-v-a-č-k-a 	 z-pě-v-ačk-a
zpěčovat 	 zpěč-ova-t 	 z-pěč-ova-t
zpřísnit 	 z-přísn-i-t 	 z-pří-sn-i-t
zrentgenovat 	 z-rentgen-ova-t 	 z-re-ntgen-ova-t
zrušení 	 z-ruš-en-í 	 z-ruš-e-n-í
zveřejněné 	 z-veřej-n-ě-n-é 	 z-veřej-n-ěn-é
zveřejnění 	 z-veřej-n-ě-n-í 	 z-veřejn-ěn-í
zvláště 	 zvláště 	 z-vlášt-ě
zvlášť 	 zvlášť 	 z-vlášť
zvroucnit 	 z-vr-ou-c-n-i-t 	 z-vr-ouc-n-i-t
zvyky 	 z-vyk-y 	 z-vy-k-y
zvážení 	 z-váž-en-í 	 z-váž-e-n-í
zvídavější 	 z-víd-a-v-ějš-í 	 z-víd-a-v-ěj-š-í
zádech 	 zád-e-ch 	 zád-ech
základem 	 zá-klad-e-m 	 zá-klad-em
zákoníku 	 zá-kon-ík-u 	 zá-koník-u
závojnatkách 	 zá-voj-n-at-k-á-ch 	 zá-voj-n-at-k-ách
zůstalo 	 zů-sta-l-o 	 z-ů-sta-l-o
úspěšnější 	 ú-spěš-n-ějš-í 	 ú-spěš-n-ěj-š-í
útrobách 	 útrob-ách 	 ú-trob-ách
úzká 	 úz-k-á 	 úzk-á
úžasem 	 ú-žas-e-m 	 ú-žas-em
černým 	 čern-ý-m 	 čern-ým
černýšovice 	 čern-ýš-ov-ic-e 	 čern-ýš-ovic-e
českomalínský 	 česk-o-malín-sk-ý 	 čes-k-o-malín-sk-ý
českého 	 čes-k-é-ho 	 čes-k-ého
češtiny 	 češ-t-in-y 	 češt-in-y
článkem 	 člán-k-e-m 	 člán-k-em
čsfr 	 č-s-f-r 	 čsfr
čsn 	 č-s-n 	 čsn
čssr 	 č-s-s-r 	 čssr
čtvrtletí 	 čtvrt-let-í 	 čtvrt-l-et-í
čubička 	 čub-ič-k-a 	 čub-ičk-a
čubičku 	 čub-ič-k-u 	 čub-ičk-u
čuchnul 	 čuch-nu-l 	 ču-c-h-nu-l
čzpi 	 č-z-p-i 	 čzp-i
šifrovaných 	 šifr-ova-n-ý-ch 	 šifr-ova-n-ých
štít 	 štít 	 št-ít
šumperka 	 šumperk-a 	 šumper-k-a
šíblová 	 šíbl-ová 	 šíbl-ov-á
žehravost 	 žehr-a-v-ost 	 žehrav-ost
železárnách 	 želez-árn-ách 	 želez-ár-n-ách
žernově 	 žernov-ě 	 žern-ov-ě
živnostenského 	 ži-v-n-ost-ensk-ého 	 ži-v-n-ost-en-sk-ého
životními 	 ži-v-ot-n-í-m-i 	 ži-v-ot-n-ími
